idx,stamp_sec,x,y,yaw,frame_id,gps_lat,gps_lon,gps_status,gps_odom_x,gps_odom_y,cov_xx,cov_yy,odom_vx,odom_vy,odom_vyaw,imu_wz,imu_ax,imu_ay,imu_yaw,odom_x,odom_y,odom_yaw
0,1788665288.99167490,35.41835659,17.39897643,2.92020099,map,37.28895100,127.10764400,2,35.43828357,17.39631643,0.99403356,0.99243362,-0.00880000,0.00000000,0.00003422,0.00000000,0.38245935,-0.54917240,2.41631703,-9.45499098,6.66378167,-1.02617819
1,1788665295.01206827,34.85580672,17.52714959,2.84325771,map,37.28895210,127.10763740,2,34.85512214,17.52677632,0.01235381,0.01235207,-0.02590000,0.00000000,0.00027339,-0.07644542,0.84337190,0.61781895,2.47236364,-9.48003259,6.70512127,-1.02605429
2,1788665296.00000906,34.17384635,17.76418963,2.85973086,map,37.28895420,127.10762970,2,34.17359717,17.76427653,0.00036087,0.00036087,-0.02450000,0.00000000,-0.00011229,-0.02879793,-0.07845320,0.30400615,2.50371571,-9.49173144,6.72442698,-1.02595058
3,1788665297.01585865,33.48054309,17.98538808,2.76033641,map,37.28895600,127.10762180,2,33.48045172,17.98556585,0.01605254,0.01604994,-0.01930000,0.00000000,-0.00006969,-0.03508112,1.13757140,0.36284605,2.54029926,-9.50399571,6.74466360,-1.02594654
4,1788665298.00000906,32.79989097,18.24299906,2.85442816,map,37.28895850,127.10761420,2,32.79969153,18.24307508,0.00028892,0.00028892,-0.03070000,0.00000000,-0.00140333,-0.05201081,0.42168595,0.35303940,2.48328358,-9.51802522,6.76794067,-1.03089833
5,1788665299.01848149,32.10415584,18.41559076,2.92776802,map,37.28896020,127.10760640,2,32.10396925,18.41568147,0.01870368,0.01869922,-0.01850000,0.00000000,-0.00056280,-0.00942478,0.25497290,-0.79433865,2.34090923,-9.52917864,6.78672032,-1.03850960
6,1788665300.00000930,31.37738152,18.52822951,2.97120109,map,37.28896120,127.10759820,2,31.37723656,18.52825222,0.00019596,0.00019596,-0.02090000,0.00000000,-0.00000581,-0.06387905,-0.56878570,-0.52955910,2.34617273,-9.54102114,6.80684372,-1.03927086
7,1788665301.02377796,30.64693731,18.64215618,3.00130733,map,37.28896240,127.10759000,2,30.64668322,18.64226122,0.02397314,0.02396605,-0.02090000,0.00000000,-0.00011901,-0.06492625,0.03922660,-0.04903325,2.37283010,-9.55356368,6.82817646,-1.03934978
8,1788665302.01187634,29.92053942,18.79100042,2.92261193,map,37.28896370,127.10758180,2,29.92028112,18.79115336,0.01206547,0.01206393,-0.01940000,0.00000000,-0.00001886,-0.04345870,0.35303940,-2.24572285,2.38951589,-9.56474114,6.84719201,-1.03943428
9,1788665303.02707720,29.20564604,18.95367480,2.91171781,map,37.28896500,127.10757370,2,29.20581437,18.95408568,0.02729926,0.02728983,-0.02950000,0.00000000,-0.00003688,-0.02024582,0.51975245,0.37265270,2.41349547,-9.57563815,6.86573363,-1.03951668
10,1788665304.00334883,28.48791844,19.13295539,2.90890367,map,37.28896660,127.10756560,2,28.48793649,19.13302434,0.00353587,0.00353573,-0.02660000,0.00000000,-0.00000000,-0.01274090,0.05883990,-1.31409110,2.43594901,-9.58879123,6.88811872,-1.03958490
11,1788665305.00000954,27.77023283,19.33420371,2.92059422,map,37.28896840,127.10755750,2,27.77008928,19.33424256,0.00019596,0.00019596,-0.02410000,0.00000000,0.00005021,0.03211406,-0.37265270,-0.32361945,2.45836745,-9.60129891,6.90940754,-1.03962079
12,1788665306.00673509,27.05145561,19.55363621,2.88996178,map,37.28897040,127.10754940,2,27.05133098,19.55406374,0.00692311,0.00692254,-0.03960000,0.00000000,0.00003300,0.00750492,1.10815145,-1.03950490,2.48450167,-9.61550771,6.93359448,-1.03967042
13,1788665307.00000978,26.35253231,19.78187368,2.85949250,map,37.28897240,127.10754150,2,26.35239203,19.78191874,0.00019596,0.00019596,-0.01790000,0.00000000,-0.00000497,0.04101524,-0.12748645,-1.08853815,2.50166227,-9.62859462,6.95587424,-1.03974709
14,1788665308.01431561,25.64358752,20.01635668,2.89842038,map,37.28897450,127.10753350,2,25.64342237,20.01633769,0.01450768,0.01450509,-0.02150000,0.00000000,-0.00884594,0.17505652,0.79433865,-0.80414530,2.44133790,-9.64059581,6.97635805,-1.04536236
15,1788665309.00000978,24.92283408,20.21747125,2.91756208,map,37.28897640,127.10752540,2,24.92269037,20.21751034,0.00019596,0.00019596,-0.02640000,0.00000000,-0.00022367,-0.01675516,0.11767980,-0.69627215,2.44020036,-9.65272980,6.99731466,-1.04614316
16,1788665310.01600623,24.20611505,20.41214796,2.87489512,map,37.28897810,127.10751730,2,24.20609014,20.41260026,0.01619937,0.01619620,-0.02270000,0.00000000,-0.00026484,-0.00610865,-0.35303940,0.15690640,2.46079025,-9.66606985,7.02037188,-1.04647620
17,1788665311.00001001,23.52518244,20.62947128,2.84456356,map,37.28898000,127.10750960,2,23.52504657,20.62951501,0.00019596,0.00019596,-0.02560000,0.00000000,-0.00015289,0.02897247,3.07928810,-1.10815145,2.47983831,-9.67778352,7.04063311,-1.04678176
18,1788665312.02257895,22.81904628,20.86054470,2.80674295,map,37.28898200,127.10750160,2,22.81866315,20.86074863,0.02277236,0.02276693,-0.02410000,0.00000000,-0.00019749,0.05393067,-0.01961330,-1.07873150,2.47057487,-9.69206828,7.06535991,-1.04708991
19,1788665313.01210594,22.12985714,21.13361709,2.80338431,map,37.28898440,127.10749380,2,22.12944127,21.13373731,0.01229419,0.01229281,-0.03050000,0.00000000,-0.00013556,0.03647738,1.06892485,-0.61781895,2.47520291,-9.70342399,7.08502964,-1.04735735
20,1788665315.00646782,21.02448673,21.55053259,2.86484354,map,37.28898830,127.10748140,2,21.02453860,21.55047973,0.00665572,0.00665521,-0.03200000,0.00000000,-0.00991064,0.08028515,0.07845320,-0.33342610,2.41393410,-9.73054368,7.13210695,-1.05365246
21,1788665316.00001025,20.30581638,21.75906787,2.83513259,map,37.28899020,127.10747330,2,20.30567312,21.75910908,0.00019596,0.00019596,-0.03430000,0.00000000,-0.00037159,0.01623156,-0.05883990,-0.35303940,2.42726556,-9.74270942,7.15352118,-1.05436674
22,1788665317.00537896,19.62581091,22.01219401,2.84980016,map,37.28899240,127.10746560,2,19.62565922,22.01217105,0.00556565,0.00556530,-0.04710000,0.00000000,-0.00042521,-0.03298672,-1.07873150,-0.56878570,2.44540348,-9.75638593,7.17761568,-1.05469462
23,1788665328.00001121,18.99457857,22.22913282,2.84114296,map,37.28899440,127.10745850,2,18.99453287,22.22914962,0.00019596,0.00019596,-0.02530000,0.00000000,0.00015813,-0.05113815,-0.12748645,-0.30400615,2.47621536,-9.77851882,7.21664129,-1.05491642
