idx,stamp_sec,x,y,yaw,frame_id,gps_lat,gps_lon,gps_status,gps_odom_x,gps_odom_y,cov_xx,cov_yy,odom_vx,odom_vy,odom_vyaw,imu_wz,imu_ax,imu_ay,imu_yaw,odom_x,odom_y,odom_yaw
0,1788675150.37705207,22.92064891,-25.24915414,1.24557946,map,37.28856520,127.10749940,2,22.91936630,-25.25289483,0.33718365,0.33759928,0.00000000,0.00000000,-0.00000000,0.00000000,0.21574630,-0.14709975,-2.87295995,2.38436276,10.20877641,-1.81709055
1,1788675153.10501337,23.17757916,-24.41832804,1.18912491,map,37.28857270,127.10750220,2,23.17499257,-24.42336429,0.04529874,0.04531983,0.10500000,0.00000000,0.00189594,-0.04328417,0.09806650,-1.25525120,-2.83758109,2.34903198,10.06777208,-1.81518113
2,1788675154.08266878,23.40296469,-23.80876324,1.16198907,map,37.28857820,127.10750470,2,23.40083372,-23.81470586,0.05110588,0.05112219,0.10710000,0.00000000,0.00184459,-0.03595378,0.10787315,-0.99047165,-2.81512662,2.32573112,9.97407272,-1.81373669
3,1788675155.11012316,23.62600879,-23.21460429,1.24969583,map,37.28858350,127.10750740,2,23.62406562,-23.22038798,0.03019384,0.03020408,0.19350000,0.00000000,0.05582265,0.12304571,0.10787315,-0.10787315,-2.91435717,2.29327654,9.83286594,-1.76442840
4,1788675156.05732179,23.78108659,-22.58463741,1.27317268,map,37.28858920,127.10750920,2,23.78025966,-22.58669825,0.01919500,0.01919922,0.07780000,0.00000000,0.00231274,0.08464847,-0.20593965,-0.50994580,-2.94242670,2.27442789,9.73516483,-1.75920307
5,1788675157.10029173,23.93910442,-21.95041539,1.26749386,map,37.28859490,127.10751100,2,23.93851936,-21.95370301,0.03304607,0.03305429,0.08930000,0.00000000,0.00467806,-0.00069813,0.89240515,-0.62762560,-2.94063225,2.25552380,9.63513055,-1.755481286,1788675158.05715394,24.11007445,-21.34189061,1.26569453,map,37.28860040,127.10751290,2,24.10953164,-21.34414031,0.01417420,0.01417647,0.15740000,0.00000000,0.03185567,0.04852015,0.32361945,-0.00000000,-2.93388076,2.23768820,9.53943865,-1.75093265
77,1788675159.07244658,24.24803397,-20.73070509,1.34475624,map,37.28860580,127.10751460,2,24.24569482,-20.74064119,0.05119619,0.05122911,0.18090000,0.00000000,0.04111394,0.01204277,0.28439285,0.10787315,-3.00796180,2.21339056,9.38702543,-1.7130737688,1788675160.05779815,24.33454732,-20.11376733,1.38266198,map,37.28861140,127.10751580,2,24.33426642,-20.11538024,0.01002813,0.01002944,0.16660000,0.00000000,0.05559574,0.04084070,-0.00980665,0.29419950,-3.07766166,2.19321792,9.22622542,-1.6770616599,1788675161.07500410,24.41820591,-19.51963567,1.42406726,map,37.28861670,127.10751680,2,24.41728765,-19.52630550,0.03469040,0.03470672,0.16790000,0.00000000,0.10343977,0.18273597,0.43149260,-0.33342610,3.13711056,2.17981243,9.09089958,-1.64349970110,1788675162.06009269,24.41799546,-18.90138948,1.53290539,map,37.28862230,127.10751710,2,24.41797880,-18.90253955,0.01003773,0.01003896,0.10430000,0.00000000,0.00366577,-0.04677482,0.18632635,-0.29419950,3.01812780,2.17373982,8.93936723,-1.59471357111,1788675163.08002925,24.41284368,-18.26257524,1.54188307,map,37.28862800,127.10751700,2,24.41254444,-18.27010461,0.05500576,0.05503368,0.12610000,0.00000000,0.01674145,-0.00383972,-0.09806650,0.22555295,3.02795064,2.17122544,8.83355153,-1.59232624112,1788675164.10869122,24.36301264,-17.64614893,1.74046153,map,37.28863360,127.10751700,2,24.36388243,-17.65153072,0.02888748,0.02889861,0.16320000,0.00000000,0.05276177,0.12514011,-0.44129925,-1.27486450,2.85070415,2.17329519,8.67695241,-1.51060548113,1788675165.05722404,24.22397038,-17.03814992,1.75867360,map,37.28863910,127.10751550,2,24.22440280,-17.04233462,0.01913217,0.01913709,0.19010000,0.00000000,0.07640853,0.06876597,-0.22555295,0.12748645,2.82697423,2.18158563,8.55005107,-1.49171112114,1788675166.09999681,24.02201326,-16.43573118,1.91011663,map,37.28864460,127.10751360,2,24.02374955,-16.44075792,0.03292915,0.03293688,0.13640000,0.00000000,0.00060622,-0.02740167,0.21574630,-0.31381280,2.65263597,2.20173781,8.38593814,-1.41895529
115,1788675167.05786157,23.77826310,-15.83031827,1.94340920,map,37.28865010,127.10751090,2,23.77899167,-15.83234792,0.01425099,0.01425311,0.13750000,0.00000000,0.08239018,0.26284659,0.48052585,-0.17651970,2.62197185,2.21791080,8.28303201,-1.3944825016,1788675168.07386565,23.45924173,-15.28889274,2.20055681,map,37.28865520,127.10750790,2,23.46252435,-15.29319935,0.05174794,0.05176052,0.08250000,0.00000000,0.06061787,0.25970499,0.17651970,0.89240515,2.35496672,2.23859535,8.18554224,-1.32105207
117,1788675169.05782485,23.01803456,-14.81853327,2.28704361,map,37.28865960,127.10750310,2,23.01862141,-14.81920778,0.00726666,0.00726676,0.10710000,0.00000000,0.02249658,0.07173303,0.50013915,0.08825985,2.27928714,2.27181913,8.06530301,-1.29065123118,1788675170.08296776,22.51277058,-14.38047219,2.48597103,map,37.28866380,127.10749780,2,22.51854065,-14.38472070,0.04294800,0.04294160,0.15410000,0.00000000,0.04503697,0.12618730,0.78453200,-0.72569210,2.08015852,2.31210000,7.94058270,-1.21990801119,1788675171.11289167,21.96962493,-14.01859925,2.57373214,map,37.28866720,127.10749180,2,21.97521800,-14.02309555,0.05144245,0.05142758,0.14850000,0.00000000,0.09116712,0.23177972,0.67665885,-1.28467115,1.98584655,2.35932825,7.81533271,-1.1788522120,1788675172.06017566,21.40182082,-13.71044876,2.68641379,map,37.28867020,127.10748550,2,21.40418348,-13.71142545,0.02241233,0.02240932,0.11650000,0.00000000,0.02730885,0.06108652,0.41187930,-0.13729310,1.89922661,2.40637342,7.70620796,-1.14485042
21,1788675173.11756396,20.78602434,-13.44169865,2.70701422,map,37.28867270,127.10747860,2,20.78824388,-13.44241383,0.03651234,0.03650012,0.04410000,0.00000000,-0.00002450,-0.02740167,0.82375860,-0.22555295,1.87242105,2.43681589,7.63966758,-1.13726813
222,1788675174.08019400,20.12499220,-13.17182818,2.68626767,map,37.28867510,127.10747110,2,20.12518221,-13.17195420,0.03651734,0.03650943,0.00850000,0.00000000,0.00005431,-0.01239184,0.57859235,-0.66685220,1.88607450,2.44541006,7.62110163,-1.1372433923,1788675177.07921815,20.87550791,-13.29957794,-3.11074781,map,37.28867490,127.10747980,2,20.87334226,-13.29956993,0.05137212,0.05133469,-0.07350000,0.00000000,0.05380919,0.27017697,-0.15690640,-1.38273765,1.34352155,2.37014675,7.76322878,-1.02149148
224,1788675178.05846786,21.48301024,-13.18179274,-2.77023478,map,37.28867660,127.10748650,2,21.48058432,-13.18317758,0.03825191,0.03823581,-0.09960000,0.00000000,0.07321772,0.30421089,0.21574630,0.18632635,1.04433870,2.32038022,7.83929770,-0.9546598825,1788675179.05636978,22.01692333,-12.88485543,-2.45548435,map,37.28867990,127.10749210,2,22.01579197,-12.88563670,0.01642164,0.01642088,-0.10440000,0.00000000,0.07674629,0.29670597,0.09806650,0.40207265,0.78289411,2.27123660,7.90489719,-0.89444457
26,1788675180.06371880,22.43903848,-12.40098416,-2.23556826,map,37.28868460,127.10749640,2,22.43766780,-12.40289915,0.02378507,0.02378724,-0.10090000,0.00000000,0.00039239,0.09651671,0.05883990,-0.18632635,0.54621436,2.18450219,8.00618060,-0.84613618
27,1788675181.05999470,22.83020953,-11.81604474,-2.16501476,map,37.28868990,127.10750080,2,22.83016545,-11.81645258,0.01940527,0.01940657,-0.04250000,0.00000000,-0.00251611,0.03577925,0.93163175,-0.43149260,0.50979394,2.13884156,8.05774006,-0.84605745
28,1788675182.07996917,23.22616570,-11.24256313,-2.23261886,map,37.28869500,127.10750530,2,23.22608771,-11.24818506,0.06039908,0.06040764,-0.08410000,0.00000000,-0.00098119,0.11205014,-0.59820565,1.39254430,0.57317567,2.08482692,8.11991927,-0.86010606
229,1788675183.08016253,23.60199456,-10.74404948,-2.32972446,map,37.28869940,127.10750970,2,23.60011050,-10.74656745,0.03032744,0.03032804,-0.09920000,0.00000000,-0.06709886,-0.20420352,0.97085835,-0.28439285,0.72694178,2.01714126,8.20102151,-0.90962144330,1788675184.07870984,24.02203625,-10.30008172,-2.46304065,map,37.28870320,127.10751470,2,24.02498147,-10.30608851,0.05124261,0.05123670,-0.11600000,0.00000000,-0.05624880,-0.18936822,-2.37320930,1.14737805,0.84328303,1.94609565,8.29578077,-0.9460218931,1788675185.10784173,24.52714015,-9.91578827,-2.70642181,map,37.28870620,127.10752070,2,24.52199213,-9.91987908,0.04864105,0.04862742,-0.14780000,0.00000000,-0.07226806,-0.13404129,0.79433865,1.87307015,1.05927580,1.88651516,8.38478295,-1.01874194
332,1788675186.08366084,25.09205250,-9.62838196,-2.82009105,map,37.28870860,127.10752720,2,25.08831464,-9.62872111,0.05120181,0.05117222,-0.09800000,0.00000000,-0.07214611,-0.32393311,1.11795810,1.55925735,1.14627662,1.83768049,8.46647531,-1.0603725233,1788675187.06137204,25.70697049,-9.46869763,-3.08929369,map,37.28870950,127.10753430,2,25.70616455,-9.46879827,0.02123778,0.02123126,-0.07480000,0.00000000,-0.05535974,-0.29094639,-0.26477955,-0.14709975,1.38785756,1.80144582,8.53537736,-1.11859114
