idx,stamp_sec,x,y,yaw,frame_id,gps_lat,gps_lon,gps_status,gps_odom_x,gps_odom_y,cov_xx,cov_yy,odom_vx,odom_vy,odom_vyaw,imu_wz,imu_ax,imu_ay,imu_yaw,odom_x,odom_y,odom_yaw
0,1788597504.76683259,-9.01577675,19.27534148,-2.48661239,map,37.55522200,127.04542210,2,-9.00833857,19.28092734,0.75133189,0.75099928,-0.00000000,0.00000000,0.00000000,0.00000000,0.31381280,-0.23535960,1.04504171,-0.68956802,-0.05736922,0.12284457
1,1788597510.05507708,-9.74272107,18.68466628,-2.48007695,map,37.55521660,127.04541380,2,-9.74367829,18.68418152,0.05178005,0.05177145,-0.02830000,0.00000000,-0.00463579,0.05934119,0.46091255,-1.51022410,1.06181394,-0.73117389,-0.06250776,0.12131276
2,1788597511.09004903,-10.16023439,18.25966015,-2.28280626,map,37.55521310,127.04540870,2,-10.16057532,18.25989240,0.04357776,0.04358126,-0.02280000,0.00000000,-0.01401631,0.19809487,0.33342610,-1.82403690,0.85408792,-0.75573475,-0.06535768,0.10649233
3,1788597512.04674506,-10.52964734,17.76300656,-2.24150135,map,37.55520870,127.04540440,2,-10.52968307,17.76283259,0.03007756,0.03007993,-0.02610000,0.00000000,-0.00067070,0.02635447,-0.18632635,0.13729310,0.79921724,-0.77826313,-0.06772272,0.10399182
4,1788597513.04614592,-10.90456083,17.22268454,-2.23360307,map,37.55520380,127.04540020,2,-10.90386490,17.22138307,0.04670394,0.04671158,-0.02600000,0.00000000,-0.00060672,-0.04066617,-0.44129925,-0.28439285,0.80078705,-0.79865900,-0.06984699,0.10351196
5,1788597514.07561898,-11.29128123,16.71132186,-2.23138931,map,37.55519920,127.04539580,2,-11.29178284,16.71018766,0.03525630,0.03525960,-0.02230000,0.00000000,-0.00049250,0.01989675,1.09834480,0.95124505,0.80487131,-0.82914416,-0.07300274,0.10271796
6,1788597515.03903151,-11.66347612,16.19955989,-2.25728503,map,37.55519460,127.04539160,2,-11.66337707,16.20004328,0.03253303,0.03253667,-0.02520000,0.00000000,-0.00222901,0.02949606,0.65704555,-0.30400615,0.81150377,-0.84871432,-0.07501553,0.10188588
7,1788597516.08658218,-12.04077041,15.67783807,-2.22426763,map,37.55518990,127.04538730,2,-12.04163478,15.67711738,0.04830179,0.04830682,-0.02130000,0.00000000,-0.00478021,0.00698132,0.04903325,-1.18660465,0.79597726,-0.87789700,-0.07795579,0.09900408
8,1788597517.03890967,-12.35311835,15.15061251,-2.08459218,map,37.55518530,127.04538350,2,-12.35276254,15.15012031,0.01877658,0.01877905,-0.02840000,0.00000000,-0.00232201,0.03403392,-0.58839900,-0.26477955,0.71287101,-0.89855742,-0.07991870,0.09094709
9,1788597518.05390263,-12.65300676,14.60587056,-2.09002819,map,37.55518040,127.04538010,2,-12.65266280,14.60599922,0.04727710,0.04729310,-0.01930000,0.00000000,0.00047719,-0.02600541,0.02941995,-1.14737805,0.74819354,-0.92424969,-0.08226506,0.09141496
