idx,x,y,yaw,frame_id
0,-29.08593530,26.48650850,2.94130680,map
1,-29.32491289,26.53502278,2.96788833,map
2,-29.57594101,26.57249115,3.05572607,map
3,-29.78511964,26.57463657,3.12241300,map
4,-30.02332325,26.58107283,3.09685282,map
5,-30.21641121,26.59394537,-3.12572097,map
6,-30.42880796,26.57463657,-3.08685287,map
7,-30.68625858,26.56820030,3.11562447,map
8,-30.92440040,26.58750910,3.01568003,map
9,-31.19472355,26.63256296,3.01270325,map
10,-31.51737153,26.66436285,2.98191690,map
11,-31.80654006,26.73109405,2.81385415,map
12,-32.07346486,26.85343458,2.83660031,map
13,-32.40712086,26.92016578,2.91951075,map
14,-32.76302059,27.00914071,2.94419709,map
15,-33.01882352,27.04250631,3.01461986,map
16,-33.28574832,27.07587191,2.89262995,map
17,-33.67501365,27.20933431,2.86329299,map
18,-33.98642591,27.27606551,2.90184954,map
19,-34.17549764,27.33167484,2.89661399,map
20,-34.43130058,27.38728417,2.88282176,map
21,-34.55364111,27.43177164,2.80491783,map
22,-34.65373791,27.46513724,2.88903838,map
23,-34.89841897,27.52074657,2.91479381,map
24,-35.23207497,27.59859964,2.95337115,map
25,-35.59909657,27.65420897,2.87859792,map
26,-35.81041203,27.75430577,2.73052811,map
27,-36.03284936,27.84328070,2.69717344,map
28,-36.27753043,27.97674310,2.63036194,map
29,-36.48884589,28.09908363,2.70623938,map
30,-36.75577069,28.19918043,2.80834835,map
31,-37.06718296,28.29927723,2.77685784,map
32,-37.36747335,28.43273963,2.69921843,map
33,-37.48981389,28.49947083,2.76725904,map
34,-37.67888562,28.55508016,2.85554121,map
