idx,x,y,yaw,frame_id
0,-29.10009508,26.47106147,2.66161631,map
1,-29.31568757,26.58329477,2.61845309,map
2,-29.52500080,26.71612080,2.61153240,map
3,-29.71808876,26.81910105,2.63310333,map
4,-29.91761299,26.93495382,2.60321814,map
5,-30.18149987,27.09586046,2.58042924,map
6,-30.36815156,27.21814950,2.58299334,map
7,-30.54193073,27.32112975,2.54177905,map
8,-30.70210620,27.44652879,2.54241975,map
9,-30.89519417,27.56238157,2.58609892,map
10,-31.15007028,27.72457546,2.58508439,map
11,-31.29093489,27.80857026,2.37299897,map
12,-31.46857582,28.03255230,2.38914959,map
13,-31.65394026,28.14840508,2.54493226,map
14,-31.87792230,28.31059896,2.54962182,map
15,-32.10190433,28.44962230,2.56939901,map
16,-32.33360989,28.60409267,2.52838530,map
17,-32.51897433,28.74311600,2.50656592,map
18,-32.77385044,28.92848044,2.43013353,map
19,-32.96693840,29.12929192,2.46467780,map
20,-33.20636747,29.27603877,2.52969022,map
21,-33.40717895,29.43823266,2.48795676,map
22,-33.56937284,29.55408544,2.57702326,map
23,-33.87059006,29.73172636,2.57950516,map
24,-34.05483243,29.85985768,2.54061080,map
25,-34.31434265,30.03595390,2.55732138,map
26,-34.62946220,30.23985479,2.50795965,map
27,-34.76848554,30.36960990,2.54962182,map
28,-35.16701909,30.60131545,2.62767297,map
29,-35.34311531,30.69399767,2.65163533,map
30,-35.58408909,30.82375278,2.63630247,map
31,-35.77872175,30.93497145,2.56913284,map
32,-36.00115908,31.09253122,2.58499334,map
33,-36.19579175,31.19448167,2.69717344,map
34,-36.39042441,31.27789567,2.76952489,map
35,-36.57578886,31.34277322,2.76108628,map
36,-36.76115330,31.42618722,2.71873873,map
