idx,x,y,yaw,frame_id
0,-19.72096117,22.96925856,3.04280214,map
1,-19.39001839,22.93645777,3.04077139,map
2,-19.01126751,22.89746292,3.11026754,map
3,-18.78870625,22.91761544,-2.97816813,map
4,-18.53125564,22.97661453,-2.91050199,map
5,-18.33280412,23.02488653,-2.83785817,map
6,-18.17189749,23.08924918,-2.79505379,map
7,-17.94662820,23.16433894,-2.74006874,map
8,-17.77615298,23.25727861,-2.58913574,map
9,-17.57662876,23.39244019,-2.59091710,map
10,-17.40928586,23.48254790,-2.67161602,map
11,-17.17114404,23.59840068,-2.79466292,map
12,-16.94644114,23.64989080,-2.94954464,map
13,-16.70773293,23.68850839,-2.93243068,map
14,-16.43097352,23.75930731,-2.99270271,map
15,-16.19283170,23.76574358,3.14159265,map
16,-15.97399868,23.75930731,-3.09152440,map
17,-15.72530138,23.78917159,-3.04150670,map
18,-15.51584698,23.80531559,3.09344841,map
19,-15.34578368,23.77088586,3.01693595,map
20,-15.24076002,23.77084543,3.09153164,map
21,-15.10804520,23.75897448,2.94835952,map
22,-14.84853498,23.69409693,2.90948882,map
23,-14.59829298,23.63848759,2.97299571,map
24,-14.41292854,23.61995115,2.96940184,map
25,-14.17195476,23.56434182,2.90534739,map
26,-13.91244454,23.49946426,2.92292371,map
27,-13.58805677,23.43458671,3.02800895,map
28,-13.77239043,23.48348763,2.91643331,map
29,-13.96547840,23.52103251,2.92944890,map
30,-14.12102148,23.55857739,2.92292371,map
31,-14.30338233,23.59612228,2.91578097,map
32,-14.51792451,23.64975782,2.93671594,map
33,-14.71637602,23.68193915,2.96619843,map
34,-14.94164531,23.72484758,3.06846777,map
35,-15.19785158,23.71720988,-3.11170810,map
36,-15.37656522,23.71184633,-3.09189885,map
37,-15.52138119,23.70111922,-3.03990380,map
38,-15.63937939,23.68502855,-3.01027721,map
39,-15.80564958,23.66357434,-3.06597951,map
40,-15.99337398,23.65821078,-3.09564800,map
41,-16.27227882,23.64212012,-3.03093543,map
42,-16.52436588,23.59921168,-2.94777033,map
43,-16.75757323,23.54686339,-2.90367242,map
44,-16.96138830,23.49322785,-2.81129530,map
45,-17.13302204,23.41813808,-2.75822526,map
46,-17.27029471,23.36863891,-2.80916548,map
47,-17.44729201,23.30963981,-2.81984210,map
48,-17.60819864,23.25600427,-2.83419518,map
49,-17.78519594,23.20236872,-2.87064580,map
50,-17.99437456,23.14873318,-3.04974653,map
51,-18.19282608,23.16482384,3.13443407,map
52,-18.41994043,23.15177968,-3.10773300,map
53,-18.64419777,23.14953471,-3.12288312,map
54,-18.82655862,23.14417115,3.10510515,map
55,-19.02739585,23.16352286,3.01399686,map
56,-19.27841020,23.20214045,2.98572445,map
57,-19.47793442,23.23432178,3.06925532,map
58,-19.72251251,23.23432178,3.07178563,map
59,-19.92817436,23.26580284,2.98001681,map
60,-20.19206124,23.31085670,2.96769146,map
61,-20.40445799,23.34947429,2.95211250,map
62,-20.66190861,23.40096441,2.93141007,map
63,-20.88717790,23.45245453,2.88358541,map
64,-21.12531972,23.52325345,2.85352745,map
65,-21.26929246,23.56567772,2.79573416,map
66,-21.47525296,23.64934917,2.78468072,map
67,-21.64903212,23.70727556,2.86075493,map
68,-21.80993876,23.74589315,2.91452850,map
69,-21.98012355,23.78377380,2.84448838,map
70,-22.10884886,23.83740934,2.75525544,map
71,-22.29657326,23.91249910,2.84309372,map
72,-22.45747990,23.94468043,2.82395730,map
73,-22.68811274,24.04122441,2.77007480,map
74,-22.87047359,24.10558706,2.85150572,map
75,-23.04747089,24.14849550,2.85903770,map
76,-23.20301397,24.20213105,2.70106231,map
77,-23.42291970,24.32549280,2.74772404,map
78,-23.61600767,24.37376479,2.82910109,map
79,-23.77155075,24.43812744,2.72139594,map
80,-23.86809473,24.48639943,2.71045391,map
81,-24.03972847,24.56148920,2.71614302,map
82,-24.21136221,24.64194251,2.77819952,map
83,-24.42054084,24.70630517,2.81129530,map
84,-24.58681103,24.77066782,2.72759365,map
85,-24.77453543,24.86184825,2.70734833,map
86,-24.95689629,24.94230156,2.69849010,map
87,-25.09098515,25.01202777,2.64765128,map
88,-25.23580112,25.09248109,2.66947067,map
89,-25.34307221,25.14075308,2.71873873,map
