idx,x,y,yaw,frame_id
0,-20.06580460,23.08446908,2.70278734,map
1,-20.31508609,23.20146233,2.76738891,map
2,-20.49962257,23.25483253,2.88726117,map
3,-20.71845559,23.30632266,2.83004583,map
4,-20.87936223,23.37712158,2.82910109,map
5,-21.13681284,23.44148423,2.85849687,map
6,-21.23335682,23.48010182,2.81419244,map
7,-21.47793491,23.55733701,2.80897296,map
8,-21.58735142,23.60239086,2.74307021,map
9,-21.72251299,23.66031725,2.77761370,map
10,-21.85767456,23.70537111,2.70348693,map
11,-22.00828317,23.79419157,2.67042639,map
12,-22.19879663,23.87915028,2.73243650,map
13,-22.44466197,23.98341777,2.80946409,map
14,-22.72924847,24.06210571,2.82188455,map
15,-22.95451776,24.15221343,2.77007480,map
16,-23.22484090,24.25519367,2.75167479,map
17,-23.42436513,24.34530139,2.72759365,map
18,-23.64963442,24.44184537,2.71980539,map
19,-23.92639383,24.57057068,2.69324997,map
20,-24.15809938,24.68642345,2.71980539,map
21,-24.42842253,24.79583997,-1.71906723,map
22,-24.14975701,24.74227493,2.98028421,map
23,-23.96739616,24.72082071,3.05485431,map
24,-23.77967175,24.71009360,-3.13787695,map
25,-23.58770456,24.72223154,-3.07282529,map
26,-23.37916956,24.73767858,-3.08609415,map
27,-23.17063456,24.74540210,-3.03093543,map
28,-23.03161123,24.77629617,-2.99270271,map
29,-22.86169382,24.79174321,-3.10079897,map
30,-22.65315882,24.79174321,-3.04180755,map
31,-22.44141084,24.83382094,-2.86023203,map
32,-22.21897351,24.91723494,-2.77441882,map
33,-22.07995018,24.97284427,-2.72918221,map
34,-21.92239040,25.04699005,-2.69717344,map
35,-21.69068485,25.15820871,-2.74207716,map
36,-21.50532041,25.22308627,-2.91811605,map
37,-21.28288307,25.25089093,-2.94419709,map
38,-21.04190930,25.31576849,-2.97939382,map
39,-20.77313086,25.33430493,-3.10651932,map
40,-20.51362064,25.33430493,3.08609415,map
41,-20.27264686,25.30650027,3.03592707,map
42,-19.90191797,25.26942738,3.08013170,map
43,-19.67021242,25.26942738,2.98224101,map
44,-19.38289753,25.18601338,2.93161914,map
45,-19.10485087,25.14894049,2.96027288,map
46,-18.82680420,25.08406294,2.85040509,map
47,-18.73209986,25.03722457,2.74135200,map
48,-18.58583043,24.98211249,2.79282165,map
49,-18.49610346,24.95140770,2.69633436,map
50,-18.38145755,24.88458162,2.73265638,map
51,-18.28443615,24.85967804,-0.83479420,map
52,-18.47551284,24.98842003,2.62597273,map
53,-18.63555588,25.05867879,2.70343664,map
54,-18.78573541,25.13376855,2.74396466,map
55,-18.90373361,25.17131343,2.83120525,map
56,-19.07000379,25.22494897,2.87242516,map
57,-19.21481977,25.25713030,2.88099026,map
58,-19.39181706,25.31076585,2.87802877,map
59,-19.55272370,25.34831073,2.93573821,map
60,-19.72622825,25.38059503,3.01039226,map
61,-19.91931621,25.39668570,3.04664095,map
62,-20.06413218,25.41277636,3.06239358,map
63,-20.25722014,25.42350347,3.10835008,map
64,-20.46783878,25.42620155,3.13463206,map
65,-20.64483607,25.42620155,-3.12596892,map
66,-20.81110626,25.42083800,-3.07917384,map
67,-20.98810356,25.40474733,-3.05559836,map
68,-21.12219242,25.39402023,-3.01939748,map
69,-21.29382617,25.36720245,-2.96426001,map
70,-21.43383222,25.33816964,-2.92989234,map
71,-21.57864819,25.30598832,-2.96792146,map
72,-21.73955483,25.28453410,-2.84067242,map
73,-21.88973435,25.20944434,-2.70000029,map
74,-22.03455032,25.14508168,-2.77441882,map
75,-22.16863919,25.10217325,-2.87064580,map
76,-22.32418227,25.06462837,-2.91722497,map
77,-22.46037364,25.03559652,-2.94190650,map
78,-22.62664383,25.00341519,-2.96600049,map
79,-22.79291402,24.97659742,-2.96488380,map
80,-22.92700288,24.94977965,-3.01975022,map
81,-23.05572819,24.94441609,-3.09285080,map
82,-23.14690862,24.93905254,-3.08283683,map
83,-23.23808904,24.93368898,-3.09072947,map
84,-23.44983874,24.92363125,-3.07534187,map
85,-23.63219959,24.90754058,3.14159265,map
86,-23.86283244,24.92363125,3.08759115,map
87,-24.02910263,24.92899480,3.11218937,map
88,-24.22755414,24.93435835,3.10947885,map
89,-24.42724142,24.94178495,3.11072550,map
90,-24.64178360,24.94714850,2.99655096,map
91,-24.90459777,25.01151115,2.89161403,map
92,-25.14595772,25.07587381,2.88099026,map
