idx,x,y,yaw,frame_id
0,6.28856680,14.55857453,-1.60544367,map
1,6.21121229,14.06326343,-1.93264389,map
2,6.00495709,13.55348495,-2.17428636,map
3,5.61441813,13.05816360,-2.30948308,map
4,5.17550931,12.63881226,-2.52847389,map
5,4.65370003,12.25947364,-2.58118729,map
6,4.09577915,11.93754847,-2.74509727,map
7,3.50411864,11.70486854,-2.83321681,map
8,2.87738061,11.54452425,-2.99223265,map
9,2.17339204,11.42419524,-3.04531131,map
10,1.52316449,11.36267023,-3.10621535,map
11,0.86804233,11.35823123,3.10516071,map
12,0.22315871,11.40852418,2.97716859,map
13,-0.43558323,11.55183909,2.88324754,map
14,-1.05091628,11.72378310,2.76800993,map
15,-1.62951054,11.97767323,2.65178929,map
16,-2.19660927,12.28238980,2.54570407,map
17,-2.73027543,12.67762982,2.45283506,map
18,-3.19757963,13.07755647,2.36485998,map
19,-3.61104201,13.53214806,2.23513191,map
20,-3.97762290,14.03028007,2.06646369,map
21,-4.25324791,14.59774558,1.93325073,map
22,-4.46156881,15.18507424,1.80770270,map
23,-4.61641159,15.74536722,1.82561077,map
24,-4.78523868,16.36160228,1.81577381,map
25,-4.95690842,16.96090619,1.78967802,map
26,-5.06359334,17.55870370,1.75254999,map
27,-5.19232595,18.20813609,1.72888884,map
28,-5.31796854,18.88077805,1.68449219,map
29,-5.47862815,19.56579334,1.85329328,map
30,-5.72588184,20.27880189,1.92105597,map
31,-6.04050866,21.01629671,1.98509485,map
32,-6.44921098,21.68193993,2.16418073,map
33,-6.93872383,22.34439797,2.13342475,map
34,-7.49379929,23.00238265,2.34068209,map
35,-8.21353698,23.52948094,2.57458880,map
36,-9.04511146,23.98013061,2.61164591,map
37,-9.90078818,24.45165195,2.64556314,map
38,-10.84072055,24.77456046,2.78783144,map
39,-11.76958295,25.02145759,2.89157426,map
40,-12.59234101,25.18095859,3.01882310,map
41,-13.41147466,25.18502255,-3.08677776,map
42,-14.22768801,25.07255367,-2.96893923,map
43,-15.04141630,24.89801533,-2.90938738,map
44,-15.81664668,24.63027275,-2.77408082,map
45,-16.56846996,24.29100865,-2.73846229,map
46,-17.29526126,23.87364284,-2.59883524,map
47,-18.00679811,23.43835534,-2.64495703,map
48,-18.81777772,22.98459540,-2.71185942,map
49,-19.65186728,22.52420304,-2.57915348,map
50,-20.42667079,21.98850297,-2.62779519,map
51,-21.27515137,21.52196225,-2.75852375,map
52,-22.27533819,21.18125581,-3.03701082,map
53,-23.29961327,21.28928125,2.94378871,map
54,-24.38083560,21.43769185,2.92168224,map
55,-25.46133738,21.70718738,2.82110896,map
56,-26.56128621,22.01709894,2.83452943,map
57,-27.63063633,22.43999170,2.64513065,map
58,-28.64645457,22.96136844,2.54864794,map
59,-29.60078979,23.66314341,2.37584798,map
60,-30.32068468,24.58456918,2.16155935,map
61,-30.91305778,25.61982108,2.07752632,map
62,-31.47779291,26.66917316,1.97077559,map
63,-31.85451914,27.84671532,1.78961704,map
64,-32.05062963,29.24509220,1.71012914,map
