idx,x,y,yaw,frame_id
0,-9.05320305,23.97724698,2.83249232,map
1,-9.46798255,24.10970093,2.83593633,map
2,-9.86386242,24.23304629,2.81347276,map
3,-10.30543182,24.39479004,2.79942814,map
4,-10.78056062,24.55955045,2.81104467,map
5,-11.21415336,24.70660626,2.83491633,map
6,-11.70424934,24.85205188,2.80413658,map
7,-12.22978332,25.06296765,2.84509034,map
8,-12.79258816,25.18454810,2.86017534,map
9,-13.26499890,25.36223756,2.78282198,map
10,-13.81411399,25.56762028,2.77441882,map
11,-14.23014433,25.73344735,2.75471694,map
12,-14.67602641,25.91876979,2.78573460,map
13,-15.06907844,26.04526356,2.85353721,map
14,-15.53793883,26.17415125,2.83785817,map
15,-16.06392065,26.35707978,2.79282165,map
16,-16.59138734,26.55722343,2.83819682,map
17,-17.01206901,26.65390801,2.83061351,map
18,-17.51714513,26.85476889,2.81984210,map
19,-17.94217223,26.96394242,2.86449536,map
20,-18.37905755,27.09990903,2.80877244,map
21,-18.80813041,27.26328599,2.77441882,map
22,-19.20904729,27.41913585,2.74772404,map
23,-19.63132522,27.60539292,2.74670153,map
24,-20.16657791,27.81821933,2.78721273,map
25,-20.70040939,28.00095406,2.74904590,map
26,-21.22017627,28.25444604,2.73649733,map
27,-21.70600009,28.43216380,2.77225900,map
28,-22.20977942,28.63751822,2.77810301,map
29,-22.79646594,28.84696846,2.80371447,map
30,-23.39091866,29.05251309,2.79798766,map
31,-23.96176768,29.26391128,2.77885323,map
32,-24.50164819,29.47407231,2.75534317,map
33,-25.09650217,29.72538218,2.72743913,map
34,-25.72127446,30.01019356,2.75098561,map
35,-26.30813090,30.22428812,2.80004331,map
36,-26.83856834,30.40737036,2.83964149,map
37,-27.39503313,30.56283144,2.83160865,map
38,-27.90240801,30.74812871,2.81984210,map
39,-28.35720889,30.88355669,2.82005760,map
40,-28.94546537,31.09556476,2.94870346,map
41,-29.50312662,31.10737456,3.08106063,map
42,-29.99891388,31.15941012,-3.06274520,map
43,-30.59206227,31.02133639,-2.80016407,map
44,-30.87660281,30.84752771,-2.56795594,map
45,-31.29065597,30.56996704,-2.53271626,map
46,-31.68584013,30.28328885,-2.38494326,map
47,-31.99087361,29.90889557,-2.12482825,map
48,-32.18278497,29.48003729,-1.97968150,map
49,-32.33045258,29.12520312,-1.94142443,map
50,-32.48900297,28.69200568,-1.89488880,map
51,-32.59648626,28.33328892,-1.88049927,map
52,-32.74438443,27.89393862,-1.93676782,map
53,-32.86985502,27.61997158,-1.93328241,map
54,-32.97440755,27.28740766,-1.92214627,map
55,-33.10264879,26.98489311,-1.96252617,map
56,-33.24467888,26.63312200,-1.97077173,map
57,-33.38155362,26.32517591,-1.98047055,map
58,-33.53043945,25.97505739,-1.93713793,map
59,-33.69600667,25.50556279,-1.88854014,map
60,-33.85919168,24.97546810,-1.83896500,map
61,-33.99466603,24.41868906,-1.79535502,map
62,-34.09667914,23.93573065,-1.78523808,map
63,-34.18870238,23.52775752,-1.73297971,map
64,-34.23040938,23.11841105,-1.58927472,map
65,-34.20260471,22.77548683,-1.52796539,map
66,-34.20260471,22.46963549,-1.48278895,map
67,-34.14699538,22.14524772,-1.39660882,map
68,-34.05751552,21.64512845,-1.29332969,map
69,-33.88931749,21.24052265,-1.01894989,map
70,-33.60919742,20.91692393,-0.69775666,map
71,-33.15107567,20.62153589,-0.57269733,map
