idx,x,y,yaw,frame_id
0,-9.21750809,19.21268068,-0.35396055,map
1,-8.97653431,19.14780313,-0.34500218,map
2,-8.62434187,18.99951157,-0.43911266,map
3,-8.36483165,18.86048824,-0.41822432,map
4,-8.12385787,18.77707424,-0.40697079,map
5,-7.82727477,18.62878269,-0.38050638,map
6,-7.52142343,18.53610047,-0.27829966,map
7,-7.24337677,18.46195469,-0.31249156,map
8,-6.91898899,18.3414678,-0.36339313,map
9,-6.585333,18.21171269,-0.38643751,map
10,-6.24704289,18.06805525,-0.33165122,map
11,-5.88558222,17.97073891,-0.31038741,map
12,-5.51021923,17.83171558,-0.31604358,map
13,-5.15339267,17.73130984,-0.30195116,map
14,-4.94485768,17.65561936,-0.29792598,map
15,-4.58494172,17.55675833,-0.30047717,map
16,-4.2868139,17.45171847,-0.32589991,map
17,-4.02730368,17.36830447,-0.32175055,map
18,-3.67511124,17.24781759,-0.31719823,map
19,-3.41560102,17.16749299,-0.31619742,map
20,-3.11157423,17.06344264,-0.30019392,map
21,-2.75011357,16.96149219,-0.26147882,map
22,-2.45353046,16.88734642,-0.37017083,map
23,-2.12914269,16.72051842,-0.38050638,map
24,-1.7584138,16.60929975,-0.27632727,map
25,-1.5081718,16.5444222,-0.36035797,map
26,-1.11890647,16.36832598,-0.38050638,map
27,-0.90573736,16.30344842,-0.29544084,map
28,-0.85200155,16.30916595,-0.54128884,map
29,-1.1120232,16.46548653,-0.56936504,map
30,-1.36312996,16.63632549,-0.60781855,map
31,-1.57176184,16.785316,-0.50156111,map
32,-1.86411059,16.91102882,-0.51126458,map
33,-2.10170506,17.08262483,-0.816638,map
34,-2.27330107,17.34661869,-0.88650154,map
35,-2.51089554,17.58421316,-0.87846189,map
36,-2.72209063,17.8878061,-1.02041038,map
37,-2.86728725,18.16499965,-1.14416883,map
38,-2.98608449,18.46859259,-1.3078016,map
39,-3.05208296,18.85138368,-1.45007474,map
40,-3.0674826,19.13957698,-1.52765764,map
41,-3.07848234,19.46296946,-1.48198943,map
42,-3.12468127,19.78196204,-1.52537305,map
43,-3.10928163,20.1405537,-1.66688504,map
44,-3.0542829,20.51234505,-1.77571054,map
45,-2.95748516,20.87093671,-1.86805764,map
46,-2.86288736,21.13713051,-1.87038015,map
47,-2.78148925,21.44072345,-1.86623716,map
48,-2.6934913,21.69371757,-1.88216663,map
49,-2.59669355,22.01491009,-1.87429725,map
50,-2.49640067,22.32304552,-1.88107892,map
51,-2.41475473,22.58233563,-1.88107892,map
52,-2.53572645,22.34691225,-2.00438524,map
53,-2.64943401,22.07543825,-1.91325487,map
54,-2.70248061,21.87916581,-1.94606715,map
55,-2.78735518,21.72533065,-1.96558745,map
56,-2.86162043,21.49723025,-1.86268134,map
57,-2.90426141,21.33624866,-1.90116769,map
58,-2.973222,21.17180418,-2.1010121,map
59,-3.08461987,21.02857834,-2.2763645,map
60,-3.21723639,20.88535251,-2.24938814,map
61,-3.35620084,20.69176923,-2.2881156,map
62,-3.48605893,20.57718857,-2.32287349,map
63,-3.57772346,20.45496919,-2.30539079,map
64,-3.69994284,20.34038852,-2.41019599,map
65,-3.8756332,20.18761429,-2.39949086,map
66,-4.07296657,19.99834401,-2.36260432,map
67,-4.2296783,19.83807909,-2.42238632,map
68,-4.41300737,19.70058229,-2.4621219,map
69,-4.62863121,19.51581035,-2.47195371,map
70,-4.85299713,19.35225706,-2.71013678,map
71,-5.18298946,19.26059253,-2.86105586,map
72,-5.39381789,19.19642735,-2.83059437,map
73,-5.69631085,19.09559636,-2.86329299,map
74,-5.8429741,19.068097,-2.92292371,map
75,-6.10880125,19.00393183,-2.96027288,map
76,-6.39296131,18.96726602,-2.9996956,map
77,-6.68628782,18.92143375,-3.06578882,map
78,-7.11711113,18.91226729,3.07981569,map
79,-7.5754338,18.97643247,3.0140831,map
80,-7.8320945,19.00393183,3.04048928,map
81,-8.20791909,19.04059764,3.03749272,map
82,-8.44624688,19.068097,3.01500053,map
83,-8.71207403,19.10476282,2.96173915,map
84,-8.95040182,19.15976154,2.93695084,map
85,-9.19789606,19.2055938,2.95848184,map
