idx,x,y,yaw,frame_id
0,-0.85200155,16.30916595,-0.22642287,map
1,-1.05010234,16.35480308,-0.31752361,map
2,-1.26076693,16.44350396,-0.38991786,map
3,-1.45480011,16.52111723,-0.35877067,map
4,-1.61557046,16.57655528,-0.39922077,map
5,-1.80960364,16.67079997,-0.47606933,map
6,-1.97037399,16.75950085,-0.43378544,map
7,-2.17765021,16.84128306,-0.43284418,map
8,-2.32733294,16.92444014,-0.59218668,map
9,-2.48255949,17.04640385,-0.66596924,map
10,-2.63778603,17.16836756,-0.51838866,map
11,-2.85697016,17.25997677,-0.45069070,map
12,-3.04090031,17.36343747,-0.60868931,map
13,-3.23632609,17.52437635,-0.63040142,map
14,-3.46623878,17.67381960,-0.63402272,map
15,-3.62717766,17.81176721,-0.76900619,map
16,-3.82260344,18.01868862,-0.72291703,map
17,-4.07912639,18.21049541,-0.65247443,map
18,-4.34288733,18.41624597,-0.85529000,map
19,-4.49758167,18.68747553,-1.05791174,map
20,-4.64025703,18.94429119,-1.04912605,map
21,-4.78146884,19.18137978,-1.08162869,map
22,-4.94917559,19.52461671,-1.19286053,map
23,-5.01814940,19.77752066,-1.28869120,map
24,-5.08589913,19.99634574,-1.30747488,map
25,-5.16905621,20.33730305,-1.40403536,map
26,-5.20044745,20.67686777,-1.52265979,map
27,-5.20639928,21.11247780,-1.59345125,map
28,-5.18136789,21.51890524,-1.67011890,map
29,-5.14140814,21.76466877,-1.81563223,map
30,-5.03890540,22.08910111,-1.85210465,map
31,-4.96737701,22.36691227,-1.83377123,map
32,-4.88339502,22.66675673,-1.87049900,map
33,-4.78887536,22.94456789,-1.90438033,map
34,-4.72039026,23.13714237,-1.85634468,map
35,-4.67049602,23.34780696,-1.92194000,map
36,-4.78842299,23.08955835,-1.98784557,map
37,-4.86452919,22.90984636,-1.94037161,map
38,-4.93105485,22.72135699,-1.93797016,map
39,-5.00312432,22.54949903,-1.91476545,map
40,-5.06410618,22.34992205,-1.87453081,map
41,-5.11954423,22.17806409,-1.88762081,map
42,-5.17498228,22.01174993,-2.00569142,map
43,-5.28286739,21.82649814,-2.01877418,map
44,-5.38273571,21.57943781,-2.03285561,map
45,-5.51689579,21.35657684,-2.12430898,map
46,-5.64994711,21.14702101,-2.16992911,map
47,-5.81293498,20.92305128,-2.18062688,map
48,-5.94044250,20.73123563,-2.21429744,map
49,-6.06573250,20.58598793,-2.33774640,map
50,-6.23537293,20.42521759,-2.41554745,map
51,-6.41166593,20.27886113,-2.52235022,map
52,-6.65226707,20.12806963,-2.48553826,map
53,-6.85960538,19.93403646,-2.48283408,map
54,-7.12349051,19.76328726,-2.54792001,map
55,-7.35411280,19.60029939,-2.56495966,map
56,-7.57697376,19.46835683,-2.69209504,map
57,-7.82755375,19.37189462,-2.80590316,map
58,-8.02823950,19.31091276,-2.83749677,map
59,-8.24444789,19.24106082,-2.92846163,map
60,-8.47396143,19.21445055,-2.99571684,map
61,-8.71234504,19.17231764,-3.11103448,map
62,-8.98177397,19.19892790,2.95884951,map
63,-9.25231166,19.27210613,2.87742249,map
