idx,stamp_sec,x,y,yaw,frame_id,gps_lat,gps_lon,gps_status,gps_odom_x,gps_odom_y,cov_xx,cov_yy,odom_vx,odom_vy,odom_vyaw,imu_wz,imu_ax,imu_ay,imu_yaw,odom_x,odom_y,odom_yaw
0,30.08000000,41.08417830,-45.69943898,1.64000000,map,,,,,,0.08000000,0.08000000,0.00000000,0.00000000,0.00000000,-0.00016123,0.01693825,0.02624070,1.64000000,41.08660000,-45.68420000,1.64000000
1,32.72000000,41.07142590,-45.18451408,1.62805907,map,37.56609135,126.97846502,0,41.08315101,-45.35464090,0.12000000,0.12000000,1.57174265,0.03428906,0.07320022,0.07533191,2.52434057,0.32264509,1.62805907,41.06492429,-45.18104417,1.62805907
2,33.02000000,41.00627814,-44.59735850,1.66400126,map,37.56609777,126.97846421,0,41.01186294,-44.64288235,0.02000000,0.02000000,2.31644516,0.06999444,0.14966196,0.15059153,2.42068599,0.41851652,1.66400126,41.00433202,-44.59674254,1.66400126
3,33.22000000,40.93407126,-44.09085238,1.69845093,map,37.56610228,126.97846351,0,41.01186294,-44.64288235,0.22000000,0.22000000,2.79603360,0.08607758,0.18414631,0.18477387,2.80415642,0.37535831,1.69845093,40.93169526,-44.08768455,1.69845093
4,33.42000000,40.81274250,-43.47282286,1.72492981,map,37.56610773,126.97846208,0,40.82332675,-43.53706606,0.02000000,0.02000000,3.27817321,0.02666599,0.05713323,0.05035864,2.35488977,-0.59020804,1.72492981,40.83222180,-43.48557880,1.72492981
5,33.58000000,40.72977981,-42.92466129,1.72002714,map,37.56610773,126.97846208,0,40.82332675,-43.53706606,0.18000000,0.18000000,3.65172422,-0.04531481,-0.09716956,-0.09978135,2.32754296,-0.67046169,1.72002714,40.74931477,-42.93551418,1.72002714
6,33.72000000,40.68797402,-42.42225018,1.70110064,map,37.56611365,126.97846119,0,40.74427780,-42.87952926,0.12000000,0.12000000,3.97677662,-0.07862124,-0.16870664,-0.17065134,2.25354380,-0.90860345,1.70110064,40.68307785,-42.40376407,1.70110064
7,33.86000000,40.63762925,-41.85476093,1.67431761,map,37.56612074,126.97846021,0,40.65821822,-42.09293570,0.06000000,0.06000000,3.98510757,-0.09493634,-0.20371948,-0.20407085,0.03629255,-0.85287522,1.67431761,40.63019208,-41.84790821,1.67431761
8,34.02000000,40.59275679,-41.21238113,1.64177524,map,37.56612795,126.97845952,0,40.59674118,-41.29247628,0.02000000,0.02000000,4.00854124,-0.09289857,-0.19936943,-0.19912978,-0.03770978,-0.77302593,1.64177524,40.58964925,-41.20885785,1.64177524
9,34.16000000,40.57338949,-40.65295564,1.61464742,map,37.56612795,126.97845952,0,40.59674118,-41.29247628,0.16000000,0.16000000,3.98938091,-0.08675327,-0.18616162,-0.18541288,0.07047204,-0.67390924,1.61464742,40.57030769,-40.64971018,1.61464742
10,34.32000000,40.57092145,-40.00310340,1.58749974,map,37.56613525,126.97845926,0,40.57418786,-40.48305605,0.12000000,0.12000000,4.00007612,-0.06849484,-0.14698482,-0.14494904,0.14904998,-0.40389471,1.58749975,40.56397418,-40.01007571,1.58749975
11,34.46000000,40.57835033,-39.44282184,1.57216917,map,37.56614246,126.97845929,0,40.57671635,-39.68191229,0.06000000,0.06000000,3.98265880,-0.03465158,-0.07435702,-0.07180954,0.23748298,-0.03715347,1.57216917,40.56658561,-39.45115486,1.57216917
12,34.62000000,40.59190623,-38.81625124,1.56604733,map,37.56614954,126.97845946,0,40.59138209,-38.89611820,0.02000000,0.02000000,3.99256945,-0.00652361,-0.01399899,-0.01330172,0.09022746,0.07315707,1.56604733,40.57103691,-38.81238747,1.56604733
13,34.76000000,40.59481355,-38.25677005,1.56597088,map,37.56614954,126.97845946,0,40.59138209,-38.89611820,0.16000000,0.16000000,3.99786592,0.00399884,0.00858105,0.00941263,0.06859284,0.13421172,1.56597088,40.57388920,-38.25287635,1.56597088
14,34.92000000,40.56988509,-37.61956685,1.56864856,map,37.56615672,126.97845921,0,40.56930231,-38.09945794,0.12000000,0.12000000,3.99780488,0.00971320,0.02084351,0.02114074,-0.01114619,0.09544089,1.56864856,40.57496175,-37.61305258,1.56864856
15,35.08000000,40.56009643,-37.05642328,1.57129718,map,37.56616396,126.97845911,0,40.56050361,-37.29639016,0.06000000,0.06000000,3.99905335,0.00353887,0.00759388,0.00697565,0.06379916,-0.05434573,1.57129718,40.57412859,-36.97331316,1.57129718
16,35.22000000,40.57734978,-36.43391046,1.56978726,map,37.56617101,126.97845929,0,40.57707436,-36.51380177,0.02000000,0.02000000,3.99528592,-0.01158540,-0.02486137,-0.02529477,0.07899976,-0.18063589,1.56978726,40.57475097,-36.41407256,1.56978726
17,35.36000000,40.58110792,-35.87415783,1.56541126,map,37.56617101,126.97845929,0,40.57707436,-36.51380177,0.16000000,0.16000000,3.99711281,-0.01573897,-0.03377483,-0.03374120,0.02380990,-0.14907519,1.56541126,40.57853364,-35.85433134,1.56541126
18,35.48000000,40.59238029,-35.37080560,1.56140149,map,37.56617843,126.97845942,0,40.58855068,-35.69066562,0.08000000,0.08000000,3.99859393,-0.01530878,-0.03285080,-0.03229350,-0.02201584,-0.05924742,1.56140149,40.58395891,-35.37457648,1.56140149
19,35.62000000,40.57695041,-34.80715829,1.55751987,map,37.56618566,126.97845928,0,40.57568186,-34.88716446,0.02000000,0.02000000,3.99900149,-0.01065586,-0.02286667,-0.02216264,-0.23109922,-0.05184055,1.55751987,40.59218045,-34.81468395,1.55751987
20,35.76000000,40.58614272,-34.24756764,1.55539260,map,37.56618566,126.97845928,0,40.57568186,-34.88716446,0.16000000,0.16000000,3.99535330,-0.00238999,-0.00512885,-0.00452630,0.07766844,0.09770801,1.55539260,40.60131833,-34.25516859,1.55539260
21,35.92000000,40.60424380,-33.61213616,1.55774806,map,37.56619283,126.97845953,0,40.59831077,-34.09156110,0.12000000,0.12000000,3.99212074,0.01471622,0.03157921,0.03225398,0.02927185,0.19832384,1.55774806,40.60964868,-33.61584827,1.55774806
22,36.06000000,40.62993153,-33.05801157,1.56375069,map,37.56619999,126.97845988,0,40.62922798,-33.29764941,0.06000000,0.06000000,3.99849068,0.02662096,0.05712677,0.05871077,0.18807629,0.38678173,1.56375069,40.61262828,-33.05634272,1.56375069
23,36.22000000,40.62569405,-32.41827153,1.57505966,map,37.56620716,126.97845968,0,40.62922798,-33.29764941,0.22000000,0.22000000,3.99633657,0.03371676,0.07235249,0.07207836,0.04013868,0.24314342,1.57505966,40.60832431,-32.41655035,1.57505966
24,36.38000000,40.60119957,-31.86110719,1.58437425,map,37.56620716,126.97845968,0,40.61159605,-32.50121628,0.16000000,0.16000000,3.99570420,0.02006398,0.04305514,0.04225285,0.05180374,0.05142576,1.58437425,40.59798617,-31.77695456,1.58437425
25,36.52000000,40.58870798,-31.23511947,1.58903059,map,37.56621425,126.97845954,0,40.59838677,-31.71461221,0.12000000,0.12000000,3.99682599,0.01307837,0.02806476,0.02769570,0.00254211,0.10252149,1.58903059,40.58681784,-31.21752157,1.58903059
26,36.66000000,40.58752413,-30.64865235,1.59263924,map,37.56622169,126.97845948,0,40.59328354,-30.88860809,0.06000000,0.06000000,4.00092161,0.01118398,0.02399613,0.02388655,-0.00789558,0.06689679,1.59263924,40.57388832,-30.65780118,1.59263924
27,36.82000000,40.55797669,-30.01505707,1.59603712,map,37.56622884,126.97845910,0,40.56016293,-30.09500171,0.02000000,0.02000000,3.99874284,0.00924895,0.01984729,0.01978314,0.01763698,0.06550379,1.59603712,40.55720409,-30.01814223,1.59603712
28,36.96000000,40.54136353,-29.45544206,1.59952224,map,37.56622884,126.97845910,0,40.56016293,-30.09500171,0.16000000,0.16000000,4.00080136,0.01477411,0.03170408,0.03216291,0.04333833,0.18895043,1.59952224,40.54055229,-29.45853786,1.59952224
29,37.12000000,40.51929954,-28.80866091,1.60367845,map,37.56623611,126.97845883,0,40.53591162,-29.28802637,0.12000000,0.12000000,3.99787406,0.00400573,0.00859577,0.00722352,0.08934362,-0.08900949,1.60367845,40.51868413,-28.81940555,1.60367845
30,37.26000000,40.50292682,-28.27023850,1.59925789,map,37.56624312,126.97845852,0,40.50872331,-28.50989261,0.06000000,0.06000000,3.98420354,-0.02834328,-0.06082058,-0.06202424,0.11510217,-0.41678327,1.59925789,40.50316214,-28.26102643,1.59925789
31,37.42000000,40.49287619,-27.61397048,1.58760534,map,37.56625048,126.97845835,0,40.49357027,-27.69401219,0.02000000,0.02000000,4.00221890,-0.03614023,-0.07755469,-0.07754304,0.02127918,-0.33992573,1.58760534,40.49404138,-27.62211232,1.58760534
32,37.56000000,40.49014366,-27.05378946,1.57932064,map,37.56625048,126.97845835,0,40.49357027,-27.69401219,0.16000000,0.16000000,3.99855289,-0.01452055,-0.03115830,-0.02901590,-0.36790370,0.12364639,1.57932064,40.49117242,-27.06214124,1.57932064
33,37.72000000,40.47913399,-26.42425929,1.57913826,map,37.56625760,126.97845823,0,40.48301188,-26.90358248,0.12000000,0.12000000,3.99729813,0.00934312,0.02005016,0.02083085,-0.36507832,0.20152735,1.57913826,40.48627839,-26.42325821,1.57913826
34,37.88000000,40.48328938,-25.86415979,1.58462341,map,37.56626480,126.97845828,0,40.48743786,-26.10417534,0.06000000,0.06000000,3.99863501,0.02032046,0.04360596,0.04408378,0.03483278,0.20395569,1.58462341,40.47681605,-25.78406821,1.58462341
