idx,stamp_sec,x,y,yaw,frame_id,gps_lat,gps_lon,gps_status,gps_odom_x,gps_odom_y,cov_xx,cov_yy,odom_vx,odom_vy,odom_vyaw,imu_wz,imu_ax,imu_ay,imu_yaw,odom_x,odom_y,odom_yaw
0,501.88000000,19.75102151,-19.00603257,-1.19045054,map,37.56633068,126.97822260,0,19.75102344,-19.00604320,0.08000000,0.08000000,0.00000000,0.00000000,0.00000000,0.00035463,-0.02142906,0.01834786,-1.19970136,19.74620015,-19.01105994,-1.19970162
1,511.08000000,19.94681118,-19.48239744,-1.18965714,map,37.56632701,126.97822451,0,19.91902113,-19.41411115,0.08114196,0.08018913,0.89548592,0.00545135,0.01529422,0.01502716,-0.00299531,0.02048219,-1.20055856,19.93052896,-19.48915191,-1.20055856
2,511.66000000,20.12878801,-19.98711021,-1.21028337,map,37.56632232,126.97822667,0,20.10860374,-19.93437337,0.06001289,0.06000189,0.95919448,0.00516096,0.01449064,0.01449410,-0.02915074,0.03102449,-1.19202728,20.13287586,-19.99559067,-1.19202728
3,512.16000000,20.31986775,-20.47893058,-1.19268272,map,37.56631876,126.97822836,0,20.25997198,-20.32929576,0.16008109,0.16001299,0.95948080,0.00315422,0.00885497,0.00893288,0.00626467,0.00142559,-1.18609265,20.32728925,-20.47374136,-1.18609265
4,512.82000000,20.52199858,-20.94645465,-1.18139683,map,37.56631330,126.97823126,0,20.51727923,-20.93494723,0.02000041,0.02000007,0.61366188,-0.00046224,-0.00137635,-0.00146726,-1.12116388,-0.02701123,-1.18421989,20.52089883,-20.94808458,-1.18421989
5,546.36000000,20.71961921,-21.42843164,-1.19318689,map,37.56630959,126.97823320,0,20.68778808,-21.34634099,0.16224111,0.16033696,0.63883084,-0.00542228,-0.01517421,-0.01541849,-0.02009481,-0.01817629,-1.19109927,20.71395573,-21.43187054,-1.19109927
6,546.92000000,20.92262389,-21.92172720,-1.19930976,map,37.56630561,126.97823531,0,20.87185085,-21.78919539,0.12527973,0.12077488,1.24730740,-0.00879147,-0.02476244,-0.02597338,0.00126609,-0.08757007,-1.20208080,20.90465145,-21.92846844,-1.20208080
7,547.28000000,21.08385274,-22.41266775,-1.22245463,map,37.56630107,126.97823717,0,21.04091983,-22.29150737,0.08006925,0.08000869,1.64974068,-0.01610620,-0.04557543,-0.04591761,0.02739919,-0.09567930,-1.21485613,21.08810856,-22.42468834,-1.21485613
8,547.56000000,21.25882218,-22.90714547,-1.23677742,map,37.56629809,126.97823867,0,21.16301049,-22.62571870,0.16031384,0.16003634,1.92735475,-0.02052904,-0.05827327,-0.06097874,2.54245488,-0.17355150,-1.22946090,21.25696513,-22.90435068,-1.22946090
9,547.82000000,21.41897733,-23.40392768,-1.24703455,map,37.56629146,126.97824145,0,21.40600573,-23.36308085,0.02000514,0.02000052,2.14312125,-0.03837300,-0.10919320,-0.11212122,0.45175309,-0.32502791,-1.25154555,21.42558635,-23.41818481,-1.25154555
10,548.06000000,21.57506218,-23.91726167,-1.27571765,map,37.56628760,126.97824304,0,21.53979998,-23.79362308,0.06004822,0.06000392,2.14237774,-0.04594850,-0.13074732,-0.13277575,-0.18055433,-0.33368892,-1.28120696,21.56993888,-23.91211072,-1.28120696
