idx,stamp_sec,x,y,yaw,frame_id,gps_lat,gps_lon,gps_status,gps_odom_x,gps_odom_y,cov_xx,cov_yy,odom_vx,odom_vy,odom_vyaw,imu_wz,imu_ax,imu_ay,imu_yaw,odom_x,odom_y,odom_yaw
0,608.72000000,20.16214578,-21.35417325,-1.50898551,map,37.56630967,126.97822806,0,20.16215633,-21.35416490,0.12000000,0.12000000,0.00000000,0.00000000,0.00000000,-0.00038269,0.00719657,-0.00001078,-1.52328649,20.16671561,-21.34392846,-1.52328655
1,610.66000000,20.16572530,-21.89121156,-1.54855384,map,37.56630538,126.97822819,0,20.16686870,-21.83013484,0.06027430,0.06000010,1.05754334,-0.04674230,-0.13138378,-0.13274385,2.60630333,-0.22510876,-1.56440773,20.17139968,-21.89863816,-1.56440773
2,611.06000000,20.14472169,-22.42300942,-1.59937681,map,37.56630085,126.97822817,0,20.15054887,-22.33276685,0.06004033,0.06000058,1.55257077,-0.06397254,-0.18082126,-0.18421927,-0.00624210,-0.28614490,-1.62566218,20.13661444,-22.42507979,-1.62566218
3,611.36000000,20.08419878,-22.94045072,-1.66137215,map,37.56629791,126.97822785,0,20.11700998,-22.65860572,0.16031974,0.16000438,1.85382963,-0.07856200,-0.22281784,-0.22456840,-0.03647201,-0.43075444,-1.68702267,20.07086090,-22.93717327,-1.68702267
4,611.62000000,19.95841128,-23.42892577,-1.73347199,map,37.56629132,126.97822638,0,19.96671409,-23.38817660,0.02000513,0.02000021,2.08492833,-0.08585242,-0.24262704,-0.24351959,-0.02524810,-0.51908119,-1.74799217,19.97360156,-23.44616853,-1.74799217
5,611.86000000,19.86705658,-23.94818412,-1.77853960,map,37.56628736,126.97822575,0,19.89703437,-23.82517992,0.06004777,0.06000284,2.10969833,-0.07914859,-0.22513431,-0.22197655,0.50879213,-0.39092663,-1.80464225,19.85068128,-23.93590267,-1.80464225
6,612.12000000,19.70836149,-24.46887832,-1.81397629,map,37.56628377,126.97822444,0,19.77420454,-24.22257544,0.12020238,0.12001448,2.13470785,-0.04833136,-0.13751487,-0.12585435,0.27919198,-0.03253729,-1.85230781,19.69289140,-24.46353551,-1.85230781
7,612.36000000,19.55083658,-24.97243826,-1.84067319,map,37.56628002,126.97822301,0,19.64456781,-24.63768917,0.16038805,0.16003036,2.16253258,0.01040264,0.03223672,0.03967981,-0.97718276,0.26361788,-1.86134080,19.54125990,-24.96109280,-1.86134080
8,612.62000000,19.39669911,-25.50223464,-1.83727710,map,37.56627260,126.97822035,0,19.40759601,-25.46030608,0.02000531,0.02000036,2.16564573,0.02804518,0.07982469,0.07961938,-0.20392269,0.16034233,-1.84312786,19.39126707,-25.50139817,-1.84312786
9,612.86000000,19.26750516,-26.00831237,-1.82306849,map,37.56626881,126.97821909,0,19.29867095,-25.88220556,0.06004981,0.06000304,2.16431541,0.02640189,0.07514459,0.07488294,-0.04374822,0.19788694,-1.82466990,19.26243360,-26.00518454,-1.82466990
10,613.12000000,19.12807252,-26.53718430,-1.81174749,map,37.56626518,126.97821781,0,19.18761116,-26.28566521,0.12021044,0.12001178,2.16074255,0.03005836,0.08554989,0.08635032,-0.31235289,0.18247051,-1.80373867,19.13415261,-26.55188520,-1.80373867
11,613.36000000,19.01881749,-27.05519428,-1.79520426,map,37.56626129,126.97821672,0,19.09338260,-26.71704507,0.16039549,0.16001919,2.16689032,0.03018850,0.08365371,0.08269483,-0.12217396,0.15655498,-1.78287534,19.02687291,-27.06001482,-1.78287534
