idx,stamp_sec,x,y,yaw,frame_id,gps_lat,gps_lon,gps_status,gps_odom_x,gps_odom_y,cov_xx,cov_yy,odom_vx,odom_vy,odom_vyaw,imu_wz,imu_ax,imu_ay,imu_yaw,odom_x,odom_y,odom_yaw
0,38.58000000,40.82850535,-44.95030753,2.72500366,map,37.56609416,126.97846452,0,40.82851682,-44.95032441,0.18000000,0.18000000,0.00000000,0.00000000,0.00000000,-0.00011452,-0.01972581,0.02334883,1.65740037,41.00740892,-44.80849151,1.65740035
1,41.46000000,40.73255368,-44.44790479,2.64505284,map,37.56609837,126.97846401,0,40.78622212,-44.47659237,0.06028125,0.06098434,1.03471464,0.00529573,0.01488109,0.01421347,0.02896977,0.00132704,1.67138958,40.95447468,-44.29568904,1.67138958
2,41.82000000,40.88723249,-43.83301108,1.69438337,map,37.56610275,126.97846315,0,40.89059720,-43.86082196,0.02000344,0.02000005,1.41074252,-0.00490241,-0.01383461,-0.01569013,2.59109806,-0.11189381,1.67042917,40.90964104,-43.84950873,1.67042917
3,42.16000000,40.84974122,-43.31349293,1.66511989,map,37.56610520,126.97846297,0,40.87441617,-43.58927057,0.16030157,0.16000241,1.82227586,-0.01535751,-0.04354162,-0.04314382,-0.00990956,-0.07862368,1.65827545,40.86114786,-43.28931691,1.65827545
4,42.42000000,40.83602310,-42.77985884,1.64059023,map,37.56611211,126.97846246,0,40.83864466,-42.82163331,0.02000537,0.02000002,2.11731417,-0.01622908,-0.04616684,-0.04736348,-0.03121540,-0.11720971,1.64710126,40.82287602,-42.77401147,1.64710126
5,42.66000000,40.79742851,-42.24777410,1.62589946,map,37.56611611,126.97846201,0,40.80352837,-42.37782724,0.06005330,0.06000012,2.16793806,-0.02346185,-0.06678062,-0.06882381,-0.07807346,-0.16659104,1.63367688,40.79145383,-42.25773777,1.63367688
6,42.92000000,40.76871244,-41.70964626,1.61984207,map,37.56611979,126.97846170,0,40.77942040,-41.96912804,0.12022443,0.12000038,2.16582804,-0.02729487,-0.07768890,-0.07782977,0.04328986,-0.15628426,1.61413194,40.76843951,-41.69566979,1.61413194
7,43.16000000,40.74966141,-41.18463621,1.60648090,map,37.56612373,126.97846147,0,40.75984358,-41.53174466,0.16041696,0.16000035,2.17102374,-0.02649617,-0.07523969,-0.07410365,-0.00983885,-0.11193792,1.59551535,40.75737575,-41.17505086,1.59551535
8,43.42000000,40.74157309,-40.60938517,1.59314433,map,37.56613164,126.97846122,0,40.74226111,-40.65300504,0.02000573,0.02000000,2.18220790,-0.01400830,-0.03987864,-0.03554262,0.11494808,-0.02905860,1.58031888,40.75357487,-40.60996700,1.58031888
9,43.66000000,40.74759003,-40.07587399,1.58351111,map,37.56613566,126.97846129,0,40.74908135,-40.20765136,0.06005463,0.06000042,2.19691973,-0.00281137,-0.00800470,-0.00731772,0.01552762,-0.01740560,1.57604227,40.75150875,-40.08373051,1.57604227
10,43.92000000,40.73541148,-39.51877801,1.57992118,map,37.56613949,126.97846114,0,40.73757570,-39.78212388,0.12022933,0.12000043,2.19395304,-0.00386613,-0.01100775,-0.01172716,0.03771843,-0.07875016,1.57379326,40.74990335,-39.51291474,1.57379326
11,44.16000000,40.74667992,-38.97599200,1.57472564,map,37.56614359,126.97846124,0,40.74762315,-39.32670025,0.16042372,0.16000000,2.18868568,-0.00681758,-0.01941056,-0.02091756,-0.00788846,-0.07309540,1.57004324,40.75057065,-38.98688573,1.57004324
