idx,stamp_sec,x,y,yaw,frame_id,gps_lat,gps_lon,gps_status,gps_odom_x,gps_odom_y,cov_xx,cov_yy,odom_vx,odom_vy,odom_vyaw,imu_wz,imu_ax,imu_ay,imu_yaw,odom_x,odom_y,odom_yaw
0,1788674406.92540455,1.97836936,-13.19867532,-0.15639266,map,37.28867610,127.10726140,2,1.96529208,-13.19655249,0.88155556,0.88006087,0.00000000,0.00000000,-0.00000000,0.00000000,0.32361945,-0.17651970,-1.53574569,5.11756041,10.04824758,2.12573258
1,1788674412.59984851,2.47605876,-13.27448790,-0.22513446,map,37.28867560,127.10726610,2,2.38130841,-13.25652802,0.56116391,0.56028934,0.15370000,0.00000000,-0.02236782,-0.15969763,0.04903325,-0.94143840,-1.47226058,5.03566156,10.18123271,2.11086423
2,1788674413.06141949,2.98444568,-13.35313555,-0.26278056,map,37.28867490,127.10727290,2,2.98057085,-13.35155330,0.02132862,0.02132302,0.13590000,0.00000000,-0.02875849,-0.03839724,-0.41187930,-4.40318585,-1.45176365,5.00076522,10.23953259,2.10606730
3,1788674414.06008196,3.59328307,-13.54298855,-0.40701404,map,37.28867350,127.10727990,2,3.58935101,-13.54185280,0.02169697,0.02169347,0.16620000,0.00000000,-0.05896602,-0.02844887,0.23535960,-3.50097405,-1.30339775,4.91384472,10.39704973,2.04748057
4,1788674415.11741900,4.15774210,-13.83376818,-0.56440668,map,37.28867120,127.10728640,2,4.15037401,-13.82647870,0.05158795,0.05157103,0.17490000,0.00000000,-0.08155279,-0.24801129,0.66685220,0.03922660,-1.11081718,4.84168750,10.54798849,1.98748861
5,1788674416.08050251,4.66801470,-14.20303480,-0.71006941,map,37.28866810,127.10729240,2,4.66282878,-14.19758283,0.03917477,0.03917234,0.18410000,0.00000000,-0.11342026,-0.27471482,0.29419950,-0.57859235,-0.97494178,4.77855241,10.69813096,1.93745381
6,1788674417.08022356,5.10620922,-14.67049481,-0.90800133,map,37.28866420,127.10729770,2,5.10071212,-14.66178285,0.06171267,0.06171987,0.16030000,0.00000000,-0.04866547,-0.15219271,0.43149260,0.33342610,-0.77839875,4.72720830,10.84659240,1.88165472
7,1788674418.05445576,5.43563980,-15.18360219,-1.19564036,map,37.28865980,127.10730210,2,5.43514976,-15.18315416,0.00580519,0.00580551,0.07660000,0.00000000,-0.05519803,-0.40509092,0.22555295,-0.52955910,-0.49799536,4.69663084,10.95195926,1.81069880
8,1788674419.07587147,5.56897311,-15.80497770,-1.53765120,map,37.28865440,127.10730450,2,5.57145182,-15.79978523,0.05187303,0.05191107,0.09090000,0.00000000,-0.06539050,-0.28536133,0.11767980,-1.45138420,-0.15442166,4.67731937,11.04266689,1.74367095
9,1788674420.05448556,5.48410519,-16.45076806,-1.89343933,map,37.28864850,127.10730440,2,5.48560845,-16.44545419,0.03453897,0.03455315,0.16780000,0.00000000,-0.08186391,-0.30054570,0.85317855,0.04903325,0.17755929,4.66386501,11.13641517,1.68027643
10,1788674421.08303380,5.25392374,-17.08233217,-1.93212084,map,37.28864270,127.10730210,2,5.25568101,-17.07972208,0.05185826,0.05188588,0.04190000,0.00000000,0.00001164,0.00558505,0.65704555,-0.33342610,0.25334931,4.65460375,11.22661164,1.67056486
11,1788674422.06150818,5.03692438,-17.70466584,-1.96792972,map,37.28863710,127.10729960,2,5.03807321,-17.70290141,0.02155292,0.02155757,0.07780000,0.00000000,-0.00007564,-0.02216568,-0.99047165,-0.01961330,0.25368689,4.64862925,11.28638145,1.67023226
12,1788674423.06011081,4.80766498,-18.26124905,-1.96559196,map,37.28863210,127.10729700,2,4.80878774,-18.25829574,0.02108664,0.02109012,0.09470000,0.00000000,0.01849490,0.15358897,0.04903325,-0.46091255,0.23542482,4.63888479,11.37952195,1.68914566
13,1788674424.11983347,4.57861118,-18.87224055,-1.95426950,map,37.28862660,127.10729450,2,4.58513243,-18.86786288,0.05180857,0.05183563,0.06330000,0.00000000,0.00112539,-0.37297686,-1.20621795,-0.07845320,0.23172042,4.63258645,11.43220220,1.69038596
14,1788674425.06087565,4.36055644,-19.48864954,-1.97289018,map,37.28862100,127.10729200,2,4.36080925,-19.48822189,0.01478148,0.01478328,0.00950000,0.00000000,0.00478049,0.16161749,0.94143840,-1.49061080,0.23979801,4.62871301,11.46431218,1.69388015
15,1788674426.07734442,4.11751711,-20.15679566,-1.94144076,map,37.28861500,127.10728920,2,4.12138557,-20.15765237,0.05165261,0.05168087,-0.03830000,0.00000000,-0.00078201,0.02844887,-0.55897905,0.83356525,0.20850039,4.62887483,11.46307793,1.69551119
16,1788674427.05753803,3.85616918,-20.86429055,-1.97384874,map,37.28860860,127.10728630,2,3.85607062,-20.86462653,0.01688637,0.01688915,-0.04950000,0.00000000,-0.00096944,-0.11344640,-0.76491870,-0.02941995,0.24345239,4.63389381,11.42293739,1.69477496
17,1788674428.06125045,3.54846822,-21.59419843,-1.99032948,map,37.28860200,127.10728290,2,3.54833377,-21.59431276,0.02598857,0.02599326,-0.02540000,0.00000000,-0.00450811,0.21170844,0.63743225,0.29419950,0.25255212,4.63897097,11.38198995,1.69135950
18,1788674429.11470151,3.24647661,-22.35941400,-2.00287143,map,37.28859510,127.10727950,2,3.24660126,-22.35993708,0.03463011,0.03464115,-0.03870000,0.00000000,-0.00123109,0.02181662,0.16671305,-1.67693715,0.26574960,4.64365714,11.34317914,1.69046222
19,1788674430.07999635,2.89695458,-23.14602745,-2.01883949,map,37.28858800,127.10727560,2,2.89640529,-23.14579826,0.03978143,0.03979065,-0.03660000,0.00000000,-0.01389357,0.04799655,0.99047165,0.10787315,0.28755242,4.64741326,11.31180956,1.68740123
20,1788674431.06926250,2.59810811,-23.98805125,-1.92239754,map,37.28858050,127.10727200,2,2.59827728,-23.98711387,0.05165489,0.05168376,-0.03810000,0.00000000,0.00020638,-0.13177236,-0.88259850,0.18632635,0.19946706,4.65099993,11.28003094,1.68199052
21,1788674432.05371666,2.28448048,-24.85880229,-1.97717029,map,37.28857260,127.10726860,2,2.28448049,-24.85888381,0.00703003,0.00703049,-0.04220000,0.00000000,0.00014067,0.03019420,1.02969825,0.56878570,0.25694609,4.65571792,11.23789805,1.68322315
22,1788674433.07505202,1.92298669,-25.74417477,-1.95731564,map,37.28856460,127.10726450,2,1.92167111,-25.74701983,0.05156139,0.05158078,-0.10290000,0.00000000,-0.00015721,-0.07958701,1.61809725,-0.34323275,0.23652795,4.66285028,11.17297489,1.67783791
23,1788674434.06014895,1.55969592,-26.69272721,-1.94437380,map,37.28855610,127.10726030,2,1.55904379,-26.69428398,0.01194750,0.01194879,-0.16420000,0.00000000,-0.00513212,-0.04241150,0.28439285,-0.59820565,0.19166793,4.67421898,11.06049387,1.66245882
24,1788674435.08005857,1.15129702,-27.64927003,-2.00072811,map,37.28854740,127.10725580,2,1.14957963,-27.65553763,0.05215082,0.05216671,-0.13120000,0.00000000,-0.00040089,0.00017453,-0.68646550,0.61781895,0.22017896,4.68499089,10.94334712,1.66250863
25,1788674436.05494213,0.71174755,-28.65153524,-1.95608798,map,37.28853840,127.10725080,2,0.70901256,-28.65552051,0.03491801,0.03493011,-0.12030000,0.00000000,-0.06315784,0.27454029,0.16671305,2.27514280,0.14262844,4.69672128,10.80961736,1.63524670
26,1788674437.05716181,0.38108626,-29.62060776,-1.97514063,map,37.28852970,127.10724710,2,0.38068466,-29.62091625,0.01723370,0.01723661,-0.01560000,0.00000000,0.00019284,-0.08726646,0.23535960,1.54945070,0.18206822,4.70213158,10.71495033,1.62841732
27,1788674438.06308317,0.11481935,-30.26103244,-2.02448265,map,37.28852390,127.10724420,2,0.11488858,-30.26072734,0.02244131,0.02244579,-0.01800000,0.00000000,0.00002750,-0.05061455,-0.04903325,-0.56878570,0.20561372,4.70337459,10.69342265,1.62853705
28,1788674439.06003404,-0.21531810,-30.99197000,-1.97194190,map,37.28851730,127.10724050,2,-0.21527363,-30.99218267,0.02206952,0.02207281,-0.01620000,0.00000000,-0.00662861,0.15201818,0.00980665,-1.58867730,0.18528416,4.70505521,10.66418212,1.62529707
29,1788674440.11851048,-0.48182036,-31.66232842,-1.97521473,map,37.28851130,127.10723740,2,-0.48137235,-31.66205847,0.05121653,0.05124208,-0.01730000,0.00000000,-0.00320733,0.01204277,0.60801230,-0.06864655,0.16590886,4.70623292,10.64228190,1.62350297
30,1788674441.06024098,-0.76749585,-32.33751149,-2.00526672,map,37.28850520,127.10723420,2,-0.76750887,-32.33796844,0.01644016,0.01644224,-0.01970000,0.00000000,-0.00355764,0.03892084,-0.31381280,-0.11767980,0.18256253,4.70762811,10.61569713,1.62252708
31,1788674442.08029819,-1.03379859,-32.94892246,-1.99247170,map,37.28849970,127.10723120,2,-1.03388855,-32.94817698,0.06098425,0.06100524,-0.02110000,0.00000000,-0.00027255,-0.05951573,-0.73549875,0.01961330,0.17162110,4.70879534,10.59257735,1.62086748
32,1788674443.08017707,-1.31589933,-33.62201129,-2.02837455,map,37.28849360,127.10722810,2,-1.31582953,-33.62182895,0.03338088,0.03338752,-0.02620000,0.00000000,0.00012008,-0.03385939,-0.81395195,-0.04903325,0.20542495,4.71006970,10.56708806,1.62101916
33,1788674444.07710505,-1.60327955,-34.27044033,-1.98882563,map,37.28848780,127.10722480,2,-1.60209723,-34.26847953,0.05133615,0.05136102,-0.02120000,0.00000000,-0.00013250,-0.03071779,0.62762560,1.53964405,0.17245887,4.71098678,10.54823532,1.61782172
34,1788674445.10461593,-1.87232208,-34.93905619,-1.98750515,map,37.28848180,127.10722170,2,-1.87532855,-34.93507776,0.04889633,0.04891920,-0.02370000,0.00000000,-0.00039831,-0.06265732,0.12748645,-0.11767980,0.19404061,4.71202929,10.52601418,1.61753622
35,1788674446.95838404,-2.08693057,-35.39073502,-1.99649552,map,37.28847780,127.10721940,2,-2.08159750,-35.37794025,0.92745106,0.92854002,-0.00000000,0.00000000,-0.00000000,-0.03054326,-0.13729310,0.53936575,0.20602274,4.71299748,10.50527807,1.61737955
36,1788674448.34835339,-1.86849838,-34.93849573,-1.97984163,map,37.28848160,127.10722170,2,-1.87674294,-34.95664160,0.31003237,0.31033927,-0.06810000,0.00000000,0.00212848,0.00017453,0.79433865,-0.10787315,0.16711354,4.71722914,10.41609881,1.61967123
37,1788674449.07155800,-1.62201118,-34.30411400,-1.96202212,map,37.28848750,127.10722450,2,-1.62218602,-34.30459541,0.03103573,0.03104501,-0.05580000,0.00000000,0.00043400,0.01867502,0.03922660,0.60801230,0.15371406,4.71976338,10.36344283,1.61854130
38,1788674450.06009245,-1.38481485,-33.66337079,-1.92954102,map,37.28849330,127.10722710,2,-1.38488770,-33.66360959,0.01055512,0.01055615,-0.05230000,0.00000000,0.00010896,-0.01117011,0.92182510,-0.66685220,0.13368749,4.72215750,10.31344561,1.61876411
39,1788674451.07922101,-1.17307843,-32.98238822,-1.84723750,map,37.28849950,127.10722930,2,-1.17107702,-32.98174124,0.05140468,0.05143656,-0.06240000,0.00000000,0.00851188,0.10925761,0.49033250,-0.19613300,0.05260217,4.72504521,10.25629295,1.62844552
40,1788674452.05537128,-1.00953876,-32.36251405,-1.95667431,map,37.28850500,127.10723140,2,-1.00969630,-32.36277224,0.01495234,0.01495456,-0.04530000,0.00000000,-0.01866556,-0.19181168,-0.23535960,-0.27458620,0.19007457,4.72748625,10.20873324,1.60886633
41,1788674453.08270574,-0.77116556,-31.75077817,-1.96445905,map,37.28851050,127.10723410,2,-0.77120292,-31.75201932,0.04265543,0.04267362,-0.04420000,0.00000000,0.00001228,0.00785398,0.40207265,0.28439285,0.16373813,4.72907961,10.16531687,1.60734419
42,1788674454.11214161,-0.51915527,-31.10897451,-2.07412284,map,37.28851620,127.10723720,2,-0.51798985,-31.10906595,0.05109053,0.05111064,-0.03980000,0.00000000,-0.01138388,-0.13805554,0.11767980,-0.99047165,0.25961814,4.73036554,10.12615376,1.59494465
43,1788674455.06017923,-0.20679691,-30.49413804,-2.10747249,map,37.28852170,127.10724080,2,-0.20693234,-30.49402751,0.01996072,0.01996280,-0.02570000,0.00000000,-0.01738348,-0.22898720,1.02969825,-0.49033250,0.27942174,4.73097470,10.09986071,1.58930183
44,1788674456.12002254,0.18332952,-29.97262320,-2.34743118,map,37.28852610,127.10724570,2,0.18511106,-29.97300767,0.05166629,0.05166718,-0.01380000,0.00000000,-0.00159257,0.06021386,0.08825985,-0.97085835,0.46676343,4.73124013,10.07158528,1.57166332
45,1788674457.08011866,0.66034347,-29.49456516,-2.50423283,map,37.28853020,127.10725130,2,0.66035109,-29.49406979,0.03617714,0.03617375,-0.00500000,0.00000000,-0.00288626,-0.25446900,0.48052585,-0.36284605,0.57202877,4.73116643,10.04808758,1.55932622
46,1788674458.07508326,1.20061884,-29.10457302,-2.54773876,map,37.28853360,127.10725750,2,1.20084507,-29.10387109,0.05174931,0.05173444,-0.03960000,0.00000000,-0.01218939,-0.07888888,1.23563790,-0.37265270,0.58567408,4.73080215,10.02119148,1.55496968
47,1788674459.05390644,1.75878311,-28.76630536,-2.65355214,map,37.28853650,127.10726390,2,1.75875083,-28.76637489,0.01366127,0.01365990,-0.03990000,0.00000000,-0.00068166,-0.03246312,0.05883990,-0.57859235,0.64628241,4.73034557,9.99818514,1.54930005
48,1788674460.07868290,2.34786514,-28.44796710,-2.83336344,map,37.28853910,127.10727070,2,2.34770141,-28.44785853,0.05113512,0.05111269,-0.03040000,0.00000000,-0.02266204,-0.28239427,-0.79433865,0.00980665,0.78163450,4.72976491,9.97461284,1.53817815
49,1788674461.10784912,2.96311101,-28.24247267,-3.11338415,map,37.28854030,127.10727780,2,2.96229757,-28.24204937,0.04789201,0.04785957,-0.04930000,0.00000000,-0.03678655,-0.30909781,1.01008495,-0.11767980,1.03386271,4.72774319,9.93172210,1.50591683
50,1788674462.08328056,3.58998706,-28.24685103,2.91775090,map,37.28853970,127.10728480,2,3.58860117,-28.24779430,0.05168395,0.05165576,-0.05190000,0.00000000,-0.03338229,-0.17784905,-1.27486450,1.69655045,1.26408482,4.72358472,9.88104111,1.46847528
51,1788674463.11099315,4.22973322,-28.36629375,2.89305635,map,37.28853860,127.10729200,2,4.22837015,-28.36430304,0.03076222,0.03075047,-0.05310000,0.00000000,0.00197697,0.09529498,2.52030905,1.50041745,1.29436160,4.71966714,9.84420316,1.46417284
52,1788674464.08040690,4.83479364,-28.53832786,2.87264040,map,37.28853700,127.10729880,2,4.83200040,-28.53927703,0.04418513,0.04416974,-0.03490000,0.00000000,0.00017935,-0.14433873,-0.15690640,-0.42168595,1.30908477,4.71626693,9.81298566,1.46121254
53,1788674465.10055685,5.47891780,-28.68868160,2.74116946,map,37.28853540,127.10730600,2,5.48029122,-28.68787207,0.03453390,0.03452630,-0.01520000,0.00000000,-0.00351963,0.00122173,-3.51078070,-2.77528195,1.40155141,4.71329001,9.78672831,1.45153272
54,1788674466.05442882,6.08419968,-28.91969659,2.73904868,map,37.28853330,127.10731280,2,6.08387716,-28.91941959,0.01097167,0.01097051,-0.03040000,0.00000000,-0.00931765,0.10314896,-0.71588545,-1.31409110,1.36962951,4.71102770,9.76789389,1.44997130
55,1788674467.07279801,6.74314295,-29.17779648,2.71849710,map,37.28853090,127.10732020,2,6.74370962,-29.17756352,0.05164597,0.05162151,-0.02620000,0.00000000,0.00007278,-0.04974188,-1.28467115,-2.11823640,1.38013578,4.70893003,9.75088094,1.44750761
56,1788674468.05711937,7.42064977,-29.44568761,2.75839131,map,37.28852860,127.10732790,2,7.42079591,-29.44584479,0.03722668,0.03721242,-0.00730000,0.00000000,0.00004360,-0.03612832,0.34323275,-0.78453200,1.32478839,4.70664483,9.73244171,1.44756212
57,1788674469.08409357,8.15200242,-29.67986043,2.81897073,map,37.28852660,127.10733620,2,8.15228611,-29.67999331,0.04395849,0.04393655,-0.00910000,0.00000000,-0.00230512,-0.09773844,0.55897905,-2.22610955,1.26583564,4.70428736,9.71338480,1.44737577
58,1788674470.11696982,8.91249505,-29.93748431,2.73274306,map,37.28852410,127.10734470,2,8.91286186,-29.93940889,0.05180733,0.05178115,0.00510000,0.00000000,0.00011476,0.07173303,0.11767980,-0.73549875,1.29981429,4.70272302,9.70099085,1.44388412
59,1788674471.06015611,9.71460151,-30.24159667,2.67741073,map,37.28852130,127.10735370,2,9.71483014,-30.24148977,0.01667762,0.01667563,-0.02310000,0.00000000,-0.00250436,-0.08517207,-0.53936575,-1.33370440,1.34742902,4.70123415,9.68940119,1.44151212
60,1788674473.08017397,10.20909795,-30.44289220,2.70427366,map,37.28851950,127.10735930,2,10.21034184,-30.44343595,0.02992786,0.02992217,-0.00110000,0.00000000,0.00000856,-0.05497787,0.63743225,0.11767980,1.33754207,4.69541158,9.64449589,1.44232127
61,1788674474.07838631,9.62536880,-30.19035374,2.66491021,map,37.28852170,127.10735270,2,9.62896429,-30.19146590,0.05161290,0.05159024,0.01240000,0.00000000,-0.00023940,-0.03071779,-0.60801230,-1.55925735,1.37581801,4.69708361,9.65743048,1.44208226
62,1788674475.10658193,9.02599087,-29.92234666,2.66347048,map,37.28852410,127.10734590,2,9.02623612,-29.92468618,0.05144251,0.05142085,0.00720000,0.00000000,0.00105388,0.06108652,0.17651970,0.74530540,1.37413033,4.69803304,9.66479915,1.44348896
63,1788674476.05478549,8.42022122,-29.66372626,2.70321977,map,37.28852650,127.10733910,2,8.42033487,-29.66424388,0.02076224,0.02075846,0.00420000,0.00000000,-0.00000992,-0.08604473,0.08825985,-0.87279185,1.33982382,4.69656372,9.65344487,1.44132108
