idx,stamp_sec,x,y,yaw,frame_id,gps_lat,gps_lon,gps_status,gps_odom_x,gps_odom_y,cov_xx,cov_yy,odom_vx,odom_vy,odom_vyaw,imu_wz,imu_ax,imu_ay,imu_yaw,odom_x,odom_y,odom_yaw
0,1788666297.32558203,8.26264315,5.61830866,-0.27048582,map,37.28884590,127.10733240,2,8.25502063,5.62043777,0.32642921,0.32591029,-0.00000000,0.00000000,-0.00000000,0.00000000,0.35303940,-0.11767980,0.39385704,-5.52162844,25.12436038,-1.46732881
1,1788666306.05284381,8.97284947,5.59101933,0.05428645,map,37.28884500,127.10734040,2,8.97260714,5.59094455,0.05140705,0.05137807,-0.01510000,0.00000000,-0.01132139,0.29949850,0.26477955,0.25497290,0.07751892,-5.52471041,25.15728593,-1.49066140
2,1788666307.02698994,9.65162764,5.74268972,0.21535067,map,37.28884600,127.10734810,2,9.65039658,5.74144223,0.02714431,0.02713486,-0.02840000,0.00000000,-0.00000000,0.05288348,0.25497290,-1.29447780,-0.06274227,-5.52635886,25.17916854,-1.49778785
3,1788666308.00534248,10.35125936,5.92784897,0.18929083,map,37.28884770,127.10735600,2,10.35132402,5.92800059,0.00546235,0.00546197,-0.03200000,0.00000000,-0.00006667,-0.00872665,0.58839900,0.80414530,-0.04388061,-5.52841386,25.20728832,-1.49790533
4,1788666309.00007701,11.07386118,6.03626749,0.06087218,map,37.28884900,127.10736410,2,11.07400531,6.03628981,0.00019596,0.00019596,-0.02670000,0.00000000,0.01763512,-0.33300882,-0.41187930,0.19613300,0.11622970,-5.53043708,25.23433470,-1.48924027
5,1788666310.00527906,11.77411231,6.02095371,-0.06100498,map,37.28884910,127.10737200,2,11.77415132,6.02102102,0.00539882,0.00539843,-0.02210000,0.00000000,0.00062318,-0.08360127,-0.00980665,-1.45138420,0.27755151,-5.53270791,25.26119101,-1.48541623
6,1788666311.00007701,12.50047607,5.95837716,-0.10477132,map,37.28884860,127.10738020,2,12.50062086,5.95836473,0.00019596,0.00019596,-0.02910000,0.00000000,0.00082461,-0.06091199,-0.38245935,-1.59848395,0.32357389,-5.53509880,25.28899772,-1.48455863
7,1788666312.00535250,13.20855921,5.85962573,-0.16301585,map,37.28884780,127.10738820,2,13.20873364,5.85958731,0.00547196,0.00547158,-0.02700000,0.00000000,0.00076135,-0.03857178,0.44129925,0.55897905,0.35760079,-5.53727385,25.31405628,-1.48381040
8,1788666313.01164985,13.92409070,5.74539256,-0.22139129,map,37.28884690,127.10739630,2,13.92437341,5.74529798,0.01177098,0.01176951,-0.02800000,0.00000000,0.00074287,-0.01937315,0.79433865,-0.67665885,0.38507358,-5.53983497,25.34331228,-1.48304681
9,1788666314.06301165,14.63087571,5.57783124,-0.26980318,map,37.28884550,127.10740430,2,14.63076539,5.57764342,0.05110872,0.05107667,-0.01580000,0.00000000,0.00311036,-0.14835299,0.47071920,-0.38245935,0.42058687,-5.54211347,25.36910071,-1.48139651
10,1788666315.04015875,15.31591686,5.36887972,-0.36244995,map,37.28884380,127.10741210,2,15.31580234,5.36848873,0.03753356,0.03752265,-0.02280000,0.00000000,0.00066510,-0.08237954,0.84337190,-1.52983740,0.47878553,-5.54400011,25.38998432,-1.47950293
11,1788666316.03187013,15.97592232,5.12343949,-0.41341969,map,37.28884170,127.10741960,2,15.97595669,5.12345754,0.01390099,0.01389950,-0.02170000,0.00000000,-0.00635774,-0.00017453,-0.02941995,-0.81395195,0.49217323,-5.54590592,25.41074498,-1.47979398
12,1788666317.05195379,16.64379780,4.87637889,-0.37617303,map,37.28883940,127.10742710,2,16.64438968,4.87641198,0.04723000,0.04721607,-0.02660000,0.00000000,-0.00034359,-0.00872665,0.69627215,-0.13729310,0.45437061,-5.54816041,25.43598080,-1.48214221
13,1788666318.07575750,17.31825177,4.64253204,-0.37619568,map,37.28883730,127.10743470,2,17.31749557,4.64140735,0.05125417,0.05123742,-0.02080000,0.00000000,-0.01135809,0.20036380,-0.33342610,-1.28467115,0.43349678,-5.55039089,25.46115889,-1.48513646
14,1788666319.05546784,18.00499252,4.42878329,-0.33343374,map,37.28883530,127.10744240,2,18.00430566,4.43025863,0.04782035,0.04779494,-0.02580000,0.00000000,-0.00030101,-0.04729842,0.09806650,-1.53964405,0.41371984,-5.55213973,25.48180703,-1.48658883
15,1788666320.03277135,18.69441618,4.21585787,-0.34468027,map,37.28883340,127.10745020,2,18.69472632,4.21603471,0.02413367,0.02412734,-0.02970000,0.00000000,-0.00024338,-0.04502949,0.11767980,0.13729310,0.43247817,-5.55435994,25.50813399,-1.48676627
16,1788666321.06227183,19.36786785,3.98072962,-0.36114368,map,37.28883130,127.10745780,2,19.36778119,3.98074176,0.05082992,0.05080233,-0.02980000,0.00000000,-0.00037665,-0.02042035,0.29419950,-0.84337190,0.44673937,-5.55655553,25.53422535,-1.48695274
17,1788666322.04345870,20.05716350,3.75326971,-0.38503689,map,37.28882930,127.10746560,2,20.05734863,3.75353460,0.03194677,0.03193639,-0.02270000,0.00000000,-0.00040358,-0.04485496,0.40207265,-1.05911820,0.46010496,-5.55883256,25.56134488,-1.48715505
18,1788666323.03288221,20.72679314,3.52188875,-0.32642820,map,37.28882710,127.10747310,2,20.72705485,3.52201753,0.01759296,0.01759026,-0.01620000,0.00000000,-0.00062791,-0.03420845,0.77472535,0.38245935,0.40116347,-5.56036075,25.57981572,-1.49057806
19,1788666324.03988814,21.40841737,3.29760491,-0.33057488,map,37.28882510,127.10748080,2,21.40890961,3.29746010,0.02485229,0.02484645,-0.02670000,0.00000000,-0.00093099,-0.00122173,0.80414530,-0.22555295,0.42014287,-5.56233949,25.60454057,-1.49140385
