idx,x,y,yaw,frame_id
0,13.15030254,-16.86396536,-0.38234041,map
1,13.71747535,-17.09204202,-0.46121148,map
2,14.35920531,-17.46473992,-0.59774336,map
3,14.96811499,-17.83460028,-0.71871312,map
4,15.57543811,-18.27283442,-0.70566255,map
5,16.18563771,-18.67460756,-0.67265701,map
6,16.78925566,-19.10731402,-0.73354321,map
7,17.33212424,-19.57465607,-0.93389670,map
8,17.83852905,-20.09129246,-0.92306680,map
9,18.24786092,-20.65002832,-1.18079394,map
10,18.56975495,-21.31458284,-1.29669228,map
11,18.76858155,-21.98712556,-1.35350647,map
12,18.85788634,-22.70217563,-1.47714400,map
13,18.86343994,-23.43500703,-1.52984033,map
14,18.78434190,-24.16650521,-1.72028756,map
15,18.62742705,-24.86276495,-1.78388008,map
16,18.43201480,-25.55670389,-1.81338788,map
17,18.19845636,-26.24384515,-1.87774961,map
18,17.91247314,-26.92812673,-1.90753810,map
19,17.63930046,-27.59463256,-1.91590197,map
20,17.36580670,-28.27216338,-1.89595705,map
21,17.11037992,-28.95488838,-1.82074988,map
22,16.86492011,-29.66381965,-1.85098534,map
23,16.57556070,-30.37212443,-1.88238852,map
24,16.27425110,-31.06863537,-1.91426425,map
25,15.96885504,-31.79143809,-1.87146067,map
26,15.65307181,-32.52188261,-1.92646565,map
27,15.31644872,-33.27343875,-1.93817905,map
28,14.96912324,-34.03853322,-1.96374895,map
29,14.61232503,-34.79584945,-1.93618418,map
30,14.25370933,-35.57952944,-1.94394106,map
31,14.00878387,-36.41901109,-1.90355346,map
32,13.71072066,-37.27177220,-1.91735590,map
33,13.41373957,-38.15756265,-1.93882241,map
34,13.05664372,-39.04469963,-1.95176189,map
35,12.68072078,-39.95118794,-1.95819649,map
36,12.25891473,-40.89438732,-1.99240409,map
37,11.76626411,-41.83497672,-2.07895063,map
38,11.21589656,-42.81622139,-2.12867768,map
39,11.51822927,-42.38735438,-2.25862305,map
40,10.55274702,-43.72070288,-2.26523477,map
41,9.82806778,-44.49519634,-2.44648649,map
42,9.01582696,-45.00163174,-2.58230143,map
43,8.08857363,-45.45461642,-2.72790925,map
44,7.14582296,-45.70865437,-2.86225757,map
45,6.20377202,-45.83228683,-2.98723937,map
46,5.25939826,-45.97043492,3.13879674,map
47,4.27765416,-45.91833552,3.00271639,map
48,3.30805631,-45.73755781,2.85129206,map
49,2.36544588,-45.44904180,2.80488960,map
50,1.41965563,-45.13105641,2.70899826,map
51,0.50743429,-44.81950584,2.65846926,map
52,0.01925611,-44.60372805,2.64769694,map
53,-0.49371273,-44.38391384,2.60698451,map
54,-1.15679022,-44.11545258,2.60611595,map
55,-1.83958387,-43.87051756,2.58751566,map
56,-2.51556788,-43.63557790,2.66963388,map
57,-3.21786534,-43.38430150,2.65176389,map
58,-3.89140142,-43.10568576,2.66860856,map
59,-4.56616003,-42.82950269,2.65383404,map
60,-5.24697313,-42.51326189,2.62452988,map
61,-5.91928045,-42.21977902,2.70871197,map
62,-6.63257356,-41.92027548,2.64501043,map
63,-7.30058452,-41.58871765,2.62333922,map
