idx,x,y,yaw,frame_id
0,8.26264315,5.61830866,-0.27048582,map
1,8.97284947,5.59101933,0.05428645,map
2,9.65162764,5.74268972,0.21535067,map
3,10.35125936,5.92784897,0.18929083,map
4,11.07386118,6.03626749,0.06087218,map
5,11.77411231,6.02095371,-0.06100498,map
6,12.50047607,5.95837716,-0.10477132,map
7,13.20855921,5.85962573,-0.16301585,map
8,13.92409070,5.74539256,-0.22139129,map
9,14.63087571,5.57783124,-0.26980318,map
10,15.31591686,5.36887972,-0.36244995,map
11,15.97592232,5.12343949,-0.41341969,map
12,16.64379780,4.87637889,-0.37617303,map
13,17.31825177,4.64253204,-0.37619568,map
14,18.00499252,4.42878329,-0.33343374,map
15,18.69441618,4.21585787,-0.34468027,map
16,19.36786785,3.98072962,-0.36114368,map
17,20.05716350,3.75326971,-0.38503689,map
18,20.72679314,3.52188875,-0.32642820,map
19,21.40841737,3.29760491,-0.33057488,map
20,22.10124064,3.10011088,-0.32518135,map
21,22.79139778,2.85313582,-0.34692424,map
22,23.47145309,2.61520846,-0.36613299,map
23,24.15286030,2.38464166,-0.29917488,map
24,24.83995147,2.17682962,-0.33900998,map
25,25.54806431,1.96097853,-0.37078362,map
26,26.22313269,1.73978174,-0.34953777,map
27,26.89210446,1.46465899,-0.41232766,map
28,27.59100601,1.25023562,-0.31118050,map
29,28.27539172,1.04357089,-0.30216849,map
30,28.99138105,0.83838670,-0.31151218,map
31,29.69914129,0.63252508,-0.34507881,map
32,30.40046180,0.42524947,-0.33647597,map
33,31.02516144,0.16871399,-0.37901018,map
34,31.74203229,-0.10905169,-0.30360515,map
35,32.44171840,-0.27508028,-0.25584292,map
36,33.11917823,-0.46927888,-0.26759623,map
37,33.80814657,-0.64971658,-0.26888531,map
38,34.45734241,-0.83802130,-0.28231132,map
