idx,x,y,yaw,frame_id
0,8.67890770,5.58386738,-0.34950480,map
1,9.43915166,5.30678323,-0.47526470,map
2,10.03192705,4.88759433,-0.64341711,map
3,10.60110794,4.43546852,-0.68404679,map
4,11.14860947,3.97707772,-0.63001838,map
5,11.74577423,3.60084324,-0.54204815,map
6,12.35598943,3.24997283,-0.48150982,map
7,12.99301202,2.94912235,-0.45269266,map
8,13.63326678,2.62873020,-0.40322182,map
9,14.30100222,2.39113877,-0.35358604,map
10,14.94977245,2.14281098,-0.34280065,map
11,15.62753246,1.91771192,-0.33393620,map
12,16.28472648,1.67967693,-0.32147343,map
13,16.97027872,1.47054325,-0.31812563,map
14,17.63291212,1.23570527,-0.36868269,map
15,18.29149820,0.96009215,-0.37911995,map
16,18.94864250,0.71152798,-0.34991706,map
17,19.63488151,0.46984523,-0.30695390,map
18,20.31387242,0.27878818,-0.29880763,map
19,20.98433860,0.05417161,-0.32757195,map
20,21.66034922,-0.17876375,-0.31701273,map
21,22.30879452,-0.38035237,-0.31723107,map
22,22.91809103,-0.59170454,-0.29218220,map
23,23.54076491,-0.75091781,-0.26758976,map
24,24.26307267,-0.96045144,-0.31568241,map
25,24.94618184,-1.20993328,-0.35781946,map
26,25.61793745,-1.46705627,-0.37843018,map
27,26.18597120,-1.70286560,-0.36438505,map
28,26.88325156,-1.94966919,-0.36132289,map
29,27.55222059,-2.21919027,-0.35815984,map
30,28.22406047,-2.45153856,-0.33599304,map
31,28.91807782,-2.69619526,-0.36557263,map
32,29.57023526,-2.96682526,-0.37445088,map
33,30.22603737,-3.21021357,-0.28762724,map
34,30.91839249,-3.36565136,-0.21939393,map
35,31.61244805,-3.51935977,-0.24315477,map
36,32.30358919,-3.70926740,-0.24581800,map
37,32.99921359,-3.86728813,-0.20961417,map
38,33.71420327,-4.00936020,-0.19615012,map
