idx,x,y,yaw,frame_id
0,20.16871115,-13.08551123,3.12706484,map
1,21.46086509,-13.10428472,-3.02834579,map
2,22.28980965,-12.84427130,-2.75432306,map
3,23.20791553,-12.39172097,-2.53527460,map
4,23.90393929,-11.72494928,-2.40159973,map
5,24.69758475,-11.03153892,-2.44190382,map
6,25.40656128,-10.46010730,-2.65976838,map
7,26.33729649,-10.17408156,-2.98074524,map
8,27.27419366,-10.15708571,3.04745186,map
9,28.04883339,-10.33568469,0.19117346,map
10,27.06467934,-10.19763447,3.06869322,map
11,26.06483852,-10.19079583,-2.94802182,map
12,25.36891915,-10.53004639,-2.60204210,map
13,24.48284689,-11.13812225,-2.46321864,map
14,23.85113975,-11.75333961,-2.36216230,map
15,23.41143895,-12.19681799,-2.53194729,map
16,22.72857955,-12.53732568,-2.68840016,map
17,21.86825099,-12.94834837,-2.86318599,map
18,20.86285200,-13.07060665,-3.09025976,map
19,19.69009976,-13.06025749,2.95985018,map
20,19.10902063,-12.74830457,2.76802704,map
21,18.36269920,-12.53995513,2.87448228,map
22,17.62238347,-12.34148683,2.92559960,map
23,16.93062686,-12.22573575,2.93780154,map
24,15.75916294,-11.95643370,2.86558482,map
25,14.60116412,-11.56594573,2.82798777,map
26,13.47406582,-11.21536095,2.80334210,map
27,12.58003152,-10.85497244,2.81118357,map
28,11.54783541,-10.55469857,2.85084628,map
29,10.61347989,-10.26652944,2.82003318,map
30,9.99941714,-10.03888788,2.78658500,map
