idx,x,y,yaw,frame_id
0,19.01985070,-12.79841912,2.69073599,map
1,18.37284519,-12.48519595,2.70645421,map
2,17.70046017,-12.18509384,2.74116167,map
3,16.97013320,-11.89142610,2.74209403,map
4,16.20858998,-11.55522274,2.71765501,map
5,15.43085941,-11.19674597,2.71108026,map
6,14.61293098,-10.82243017,2.71758140,map
7,13.76725373,-10.44580699,2.71943401,map
8,12.90829081,-10.05676685,2.68826549,map
9,13.54308551,-10.24876051,3.01833390,map
10,14.17020559,-10.21310141,-2.89431078,map
11,14.77346987,-9.93815173,-2.57795696,map
12,15.28407708,-9.50910579,-2.40337644,map
13,15.76380279,-9.03712320,-2.25864321,map
14,16.12944788,-8.48032716,-2.18294634,map
15,16.49201166,-7.99997176,-2.25402106,map
16,16.89918117,-7.53471913,-2.37622992,map
17,17.38129469,-7.14562772,-2.57913121,map
18,17.91581559,-6.89384926,-2.82512491,map
19,18.55512452,-6.76122919,-3.09656209,map
20,19.12104037,-6.83954059,2.97543633,map
21,19.56444021,-6.93049393,2.90303354,map
22,19.94228696,-7.03925960,2.86533391,map
23,20.22601397,-7.11805542,2.76097035,map
24,20.05432074,-7.08408818,2.89563411,map
25,19.75963745,-7.00097562,2.89624137,map
26,19.33861210,-6.90487764,2.94524312,map
27,18.84077539,-6.81820260,3.09434641,map
28,18.22703731,-6.85232080,-2.93892187,map
29,17.71967980,-7.04857886,-2.71280671,map
30,17.09331551,-7.37060447,-2.52971809,map
31,16.60470499,-7.83097094,-2.30259159,map
32,16.21601521,-8.34738414,-2.19972197,map
33,15.77449168,-8.97220386,-2.27142245,map
34,15.17604782,-9.58050911,-2.48646187,map
35,14.23416535,-10.15568601,-2.83152498,map
36,12.91312363,-10.30555483,3.12232739,map
37,12.13300315,-10.11520156,2.92658949,map
38,11.34735200,-9.96362392,3.00049621,map
39,10.56263770,-9.89214640,3.06744259,map
40,9.91976951,-9.85757416,3.03488462,map
41,9.38471782,-9.76597363,2.97203701,map
