idx,x,y,yaw,frame_id
0,-36.44761587,16.05644522,-0.33072948,map
1,-35.55439178,15.74976554,-0.35326439,map
2,-34.97379815,15.51300105,-0.45968570,map
3,-34.40567912,15.18108686,-0.48466223,map
4,-33.84644782,14.91939342,-0.47068906,map
5,-33.31031280,14.62372827,-0.48563329,map
6,-32.75966455,14.34579780,-0.38846782,map
7,-32.23270843,14.18270254,-0.30125733,map
8,-31.67158272,14.00771508,-0.32027314,map
9,-31.08971012,13.80357849,-0.36430887,map
10,-30.52588463,13.57082577,-0.39294981,map
11,-29.96471038,13.33725784,-0.37091291,map
12,-29.38266257,13.12621096,-0.32869838,map
13,-28.89398661,12.97206482,-0.33250115,map
14,-28.25246485,12.73592898,-0.36763348,map
15,-27.59971677,12.47358570,-0.41456821,map
16,-26.94177533,12.15912963,-0.41994438,map
17,-26.26239363,11.87646312,-0.36837985,map
18,-25.50835574,11.60582903,-0.34342625,map
19,-24.75350384,11.33688934,-0.32458207,map
20,-23.94487912,11.07974659,-0.25977942,map
21,-23.09984867,10.89737199,-0.20804601,map
22,-22.26843597,10.72584854,-0.10111212,map
23,-21.37114787,10.72198127,0.07354123,map
24,-20.47799054,10.85775798,0.29596439,map
25,-19.61541163,11.25734030,0.56462098,map
26,-18.86536993,11.87920093,0.79392587,map
27,-18.26613750,12.62982537,0.91830870,map
28,-17.65999724,13.45663081,1.00521942,map
29,-17.14409293,14.39753212,1.09603752,map
30,-16.65004970,15.42163483,1.12484639,map
31,-16.16713524,16.44107876,1.10627714,map
32,-15.62697010,17.46334333,1.08739389,map
33,-15.08709975,18.49851200,1.05669491,map
34,-14.47193787,19.50853210,1.04852546,map
35,-13.90686220,20.54902684,0.81821610,map
36,-12.95445995,21.12902885,0.44838315,map
37,-11.82806233,21.54905949,0.16364054,map
38,-10.63375067,21.51221747,-0.17592068,map
39,-9.36663923,21.11152126,-0.37411618,map
40,-8.11258957,20.52239408,-0.28572401,map
41,-8.50942485,20.85970431,-0.44477616,map
42,-6.77741381,19.88601134,-0.49767756,map
43,-5.58047013,19.26843034,-0.46140873,map
44,-4.40181845,18.70485459,-0.46472295,map
45,-3.11663207,18.03319769,-0.47222453,map
46,-1.91524027,17.43479103,-0.49190129,map
47,-0.77109580,16.77638234,-0.56136433,map
48,0.28409030,16.05173813,-0.65299319,map
49,1.20370767,15.26577979,-0.70719206,map
