idx,x,y,yaw,frame_id
0,35.55080263,16.63725753,2.84614399,map
1,34.75844209,16.87841751,2.82392040,map
2,33.98768190,17.15122415,2.78184258,map
3,33.41586173,17.38338554,2.78392604,map
4,32.73753924,17.61845397,2.80987782,map
5,32.06283925,17.84942334,2.80514448,map
6,31.25199287,18.13801730,2.75351685,map
7,30.55813748,18.46455652,2.76535723,map
8,29.86133953,18.68740062,2.79458385,map
9,29.20564604,18.95367480,2.82789235,map
10,28.48791844,19.13295539,2.88245292,map
11,27.77023283,19.33420371,2.85670020,map
12,27.05145561,19.55363621,2.83572977,map
13,26.35253231,19.78187368,2.82404722,map
14,25.64358752,20.01635668,2.84584968,map
15,24.92283408,20.21747125,2.87291192,map
16,24.20611505,20.41214796,2.85493152,map
17,23.52518244,20.62947128,2.82892692,map
18,22.81904628,20.86054470,2.79487733,map
19,22.12985714,21.13361709,2.77452917,map
20,21.02448673,21.55053259,2.81126323,map
21,20.30581638,21.75906787,2.82278165,map
22,19.62581091,22.01219401,2.79737494,map
23,18.99457857,22.22913282,2.80127013,map
24,18.33153887,22.47049548,2.79316109,map
25,17.65524043,22.71565020,2.79510198,map
26,16.97629810,22.95981416,2.78852126,map
27,16.28299105,23.22134202,2.81139898,map
28,15.60819311,23.42872021,2.79959820,map
29,14.90863372,23.71058915,2.75866123,map
30,14.23639435,23.98130242,2.73247502,map
31,13.64544500,24.25828575,2.74252167,map
32,13.10373808,24.45894195,2.84262179,map
33,12.52531672,24.60351936,2.86076470,map
34,12.01401847,24.77327261,2.85124111,map
35,11.49812559,24.91043963,2.85046285,map
36,10.98694105,25.08102980,2.78999005,map
37,10.49269241,25.27927847,2.78842618,map
38,9.98970880,25.44863060,2.80878100,map
39,9.48127894,25.62889319,2.78471992,map
40,8.98568668,25.82296690,2.75582753,map
41,8.50150791,26.02679100,2.75896720,map
42,7.99972145,26.21977868,2.80344726,map
43,7.51729280,26.37289179,2.82855394,map
44,7.03751245,26.53122774,2.85304407,map
45,6.53864792,26.66338569,2.86919020,map
46,6.02457023,26.81418943,2.84483562,map
47,5.52995493,26.97183041,2.85431891,map
48,5.02543574,27.10937988,2.85321488,map
49,4.51139197,27.27398401,2.82197903,map
50,4.00128308,27.44833411,2.78610142,map
51,3.50575702,27.64734004,2.74372714,map
52,3.02750222,27.85759419,2.77664981,map
53,2.52309087,28.02277409,2.83389611,map
54,2.03806296,28.17202766,2.81968192,map
55,1.52732685,28.35487266,2.79795757,map
56,1.04596304,28.52703286,2.78275020,map
57,0.53173724,28.72830028,2.75592935,map
58,-0.03321706,28.96517399,2.75746769,map
59,-0.65432779,29.20771211,2.78496511,map
60,-1.31439955,29.44248808,2.79641362,map
61,-1.99623218,29.69022699,2.82650127,map
62,-2.73839646,29.90664064,2.84494229,map
63,-3.48253037,30.14454357,2.82027164,map
64,-4.29496425,30.42475377,2.79521531,map
65,-5.00504145,30.69406127,2.84219411,map
66,-5.81119929,30.89278121,2.89628907,map
67,-6.57249135,31.08646492,2.87100458,map
68,-7.38356158,31.32894092,2.83265560,map
69,-8.18902080,31.60238982,2.79456216,map
70,-8.99574980,31.91201611,2.77006611,map
71,-9.79240608,32.22710143,2.79352867,map
72,-10.59662431,32.49287110,2.83783581,map
73,-11.42394245,32.73851856,2.84602404,map
74,-12.23227170,32.99090519,2.81188272,map
75,-13.05804627,33.29771019,2.78621308,map
76,-13.87776135,33.60160716,2.80674539,map
77,-14.67668080,33.86091387,2.82205030,map
78,-15.48597146,34.13373425,2.82483093,map
79,-16.27573648,34.38508328,2.84900778,map
80,-17.11616953,34.62479886,2.85148092,map
81,-17.93062697,34.87912514,2.80298615,map
82,-18.72571268,35.19163133,2.84785408,map
83,-19.53738731,35.36515223,2.91069100,map
84,-20.38265092,35.58116864,2.98592493,map
85,-21.23183961,35.63107522,3.07980687,map
86,-22.12105726,35.68871433,3.12363582,map
87,-22.99081816,35.66266430,-3.00630197,map
88,-23.78419662,35.46232413,-2.81634717,map
89,-24.57146576,35.12963653,-2.68179275,map
90,-25.33659081,34.69357918,-2.58331282,map
91,-26.08076929,34.18699224,-2.49394530,map
92,-26.77825519,33.60296188,-2.40312766,map
93,-27.44236798,32.94755799,-2.29114911,map
94,-28.02760883,32.17950892,-2.18760466,map
95,-28.56419146,31.36552307,-2.12139754,map
96,-29.07221872,30.47800344,-2.06365307,map
97,-29.51201068,29.60070445,-2.01631140,map
98,-29.95411314,28.63124158,-2.05685684,map
99,-30.47534270,27.77738073,-2.07272443,map
100,-30.94106187,26.83289401,-2.03859887,map
101,-31.42502108,25.89759072,-2.03445480,map
102,-31.89659255,24.92188456,-1.96104430,map
103,-32.18782364,24.04317923,-1.92407490,map
104,-32.43651476,23.45768235,-1.89564486,map
105,-32.62531029,22.74414775,-1.78527472,map
106,-32.70411893,22.22917549,-1.65172462,map
107,-32.71662029,21.61832919,-1.52961468,map
108,-32.66139285,21.19225903,-1.42703920,map
109,-32.54567179,20.43738419,-1.34111826,map
110,-32.36407469,19.92060238,-1.28635405,map
111,-32.17355195,19.16461439,-1.26685990,map
112,-31.86837171,18.34019216,-1.20909399,map
113,-31.57077137,17.57142193,-1.14561396,map
114,-31.21216311,16.89097747,-1.04533667,map
115,-30.83632069,16.30476539,-1.01016769,map
116,-30.47532821,15.71734758,-0.97193574,map
117,-30.09907896,15.22450296,-0.88621992,map
118,-29.56801477,14.60579613,-0.81051635,map
119,-29.17827900,14.25624326,-0.75152760,map
120,-28.71564267,13.80929371,-0.68384675,map
121,-28.28640079,13.52932370,-0.57795040,map
