idx,x,y,yaw,frame_id
0,36.46303300,19.45991650,2.77069487,map
1,35.63670981,19.78127059,2.77208177,map
2,34.78375924,20.11030018,2.83043228,map
3,34.11888188,20.26941531,2.82783293,map
4,33.49027469,20.53000750,2.79232465,map
5,32.78166835,20.75642738,2.77340597,map
6,32.14239735,21.04998962,2.76387265,map
7,31.43295619,21.29155778,2.84770781,map
8,30.76611144,21.46652050,2.85962358,map
9,30.11363995,21.67374711,2.78841811,map
10,29.45287593,21.95061879,2.77519680,map
11,28.91710088,22.13288618,2.78515274,map
12,28.26812131,22.39175483,2.82281000,map
13,27.40433923,22.63215640,2.85479915,map
14,26.77387907,22.83244285,2.81020384,map
15,25.95998920,23.12912454,2.81994515,map
16,25.18153147,23.36304307,2.85429906,map
17,24.53524559,23.55009032,2.80537336,map
18,23.78104931,23.85249584,2.76962581,map
19,23.10379897,24.10853718,2.77524428,map
20,22.46648377,24.35685273,2.77107794,map
21,21.78176182,24.62208968,2.77125147,map
22,21.10676615,24.88477088,2.77967058,map
23,20.33105351,25.17132615,2.76399344,map
24,19.64180085,25.46582241,2.75699798,map
25,18.77738815,25.80017255,2.79335997,map
26,17.91348896,26.09324626,2.82025427,map
27,16.68170135,26.49777519,2.78962721,map
28,15.59074885,26.94628982,2.77873938,map
29,14.52005775,27.31847319,2.79710081,map
30,13.48749399,27.70093528,2.77594891,map
31,12.52729810,28.08142112,2.79966316,map
32,11.60431157,28.37117741,2.77803933,map
33,10.96818508,28.67460915,2.76959152,map
34,10.21380164,28.91370868,2.79163760,map
35,9.46949428,29.22159767,2.82334265,map
36,8.69282162,29.41479303,2.84234691,map
37,7.90749917,29.70348880,2.83037102,map
38,7.09922921,29.92741189,2.84525706,map
39,6.05224462,30.26994574,2.82463265,map
40,5.16992071,30.56026163,2.78386180,map
41,4.34100068,30.90963341,2.73784053,map
42,3.58556570,31.23713468,2.75497495,map
43,3.11559732,31.40850321,2.79285130,map
44,2.32671128,31.69485767,2.75668440,map
45,1.81843486,31.93400346,2.79120920,map
46,0.96495135,32.19253068,2.83227974,map
47,0.42801149,32.37834118,2.79420223,map
48,-0.09989751,32.57808478,2.81837580,map
49,-0.79036423,32.78645239,2.86343659,map
50,-1.55518564,32.99365537,2.85601485,map
