idx,x,y,yaw,frame_id
0,2.89695458,-23.14602745,-1.91184261,map
1,2.59810811,-23.98805125,-1.91421830,map
2,2.28448048,-24.85880229,-1.93781603,map
3,1.92298669,-25.74417477,-1.94716616,map
4,1.55969592,-26.69272721,-1.95566246,map
5,1.15129702,-27.64927003,-1.97933083,map
6,0.71174755,-28.65153524,-1.94326385,map
7,0.38108626,-29.62060776,-1.92594890,map
8,0.11481935,-30.26103244,-1.98102173,map
9,-0.21531810,-30.99197000,-1.97332498,map
10,-0.48182036,-31.66232842,-1.96021529,map
11,-0.76749585,-32.33751149,-1.97606942,map
12,-1.03379859,-32.94892246,-1.97430845,map
13,-1.31589933,-33.62201129,-1.97767853,map
14,-1.60327955,-34.27044033,-1.97052904,map
15,-1.87232208,-34.93905619,-1.97834312,map
16,-2.08693057,-35.39073502,-2.02022600,map
17,-2.29701926,-35.81952794,-2.02637467,map
18,-2.30825143,-35.84136983,-1.94852691,map
19,-1.97190290,-34.99368233,-1.93110748,map
20,-1.73992085,-34.33289387,-1.93491974,map
21,-1.50758835,-33.69523009,-1.96604865,map
22,-1.26928548,-33.03940895,-1.94465303,map
23,-0.98519144,-32.44753863,-2.04269724,map
24,-0.68482577,-31.77989187,-2.04526448,map
25,-0.37733811,-31.20351422,-2.26997233,map
26,0.07904720,-30.72693172,-2.53723787,map
27,0.62820890,-30.41708248,-2.68914030,map
28,1.24237757,-30.10233562,-2.66373918,map
29,1.86529097,-29.84915713,-2.85520735,map
30,2.50612174,-29.71510512,-3.12921629,map
31,3.11751745,-29.77371185,2.90788933,map
32,3.61052639,-29.94706967,2.64602402,map
33,4.34449698,-30.32370998,2.60350777,map
34,4.91706225,-30.64223746,2.61625696,map
35,5.52595598,-30.90896580,2.69718426,map
36,6.12264252,-31.18229969,2.73045444,map
37,6.72930502,-31.40063893,2.76774914,map
38,7.32942776,-31.61849180,2.77808771,map
39,7.92609184,-31.84290665,2.66671337,map
40,8.52472732,-32.10965954,2.74252032,map
41,9.13028635,-32.35935242,2.77239883,map
42,8.24795821,-32.11436929,2.83885229,map
43,7.60235246,-31.92250076,2.82549467,map
44,6.96718522,-31.75021189,2.79307849,map
45,6.33428361,-31.52451092,2.73420113,map
46,5.73600083,-31.28373761,2.75739778,map
47,5.11981343,-31.04629337,2.74545063,map
48,4.54487475,-30.79333308,2.67974579,map
49,3.97107704,-30.48799966,2.57435328,map
50,3.42227440,-30.10386488,2.43592309,map
51,2.89727501,-29.57309153,2.18035583,map
52,2.57772155,-28.89436018,1.80682728,map
53,2.56739069,-28.20151114,1.57922707,map
54,2.56440145,-27.31445511,1.46837601,map
55,2.76355935,-26.29288343,1.31066185,map
56,3.06007560,-25.45217742,1.22709207,map
57,3.26184908,-24.90066323,1.19455432,map
58,3.49052570,-24.36260060,1.13098853,map
59,3.76459968,-23.83222175,1.12157872,map
60,4.15311497,-22.98819205,1.14898699,map
61,4.71517879,-21.71391353,1.15063796,map
62,5.19595401,-20.65397863,1.11258361,map
63,5.85705606,-19.39878780,1.06465956,map
64,6.61526295,-18.09342485,0.81448928,map
65,7.79479649,-17.34489348,0.55522489,map
66,8.60782239,-16.85740576,0.43067539,map
67,9.61529541,-16.50848578,0.23109067,map
68,10.72519846,-16.35919963,0.02197527,map
69,11.75262987,-16.46150972,-0.16122765,map
70,12.64264441,-16.67105176,-0.23122572,map
