idx,x,y,yaw,frame_id
0,2.89695458,-23.14602745,-1.91184261,map
1,2.59810811,-23.98805125,-1.91421830,map
2,2.28448048,-24.85880229,-1.93781603,map
3,1.92298669,-25.74417477,-1.94716616,map
4,1.55969592,-26.69272721,-1.95566246,map
5,1.15129702,-27.64927003,-1.97933083,map
6,0.71174755,-28.65153524,-1.94326385,map
7,0.38108626,-29.62060776,-1.92594890,map
8,0.11481935,-30.26103244,-1.98102173,map
9,-0.21531810,-30.99197000,-1.97332498,map
10,-0.48182036,-31.66232842,-1.96021529,map
11,-0.76749585,-32.33751149,-1.97606942,map
12,-1.03379859,-32.94892246,-1.97430845,map
13,-1.31589933,-33.62201129,-1.97767853,map
14,-1.60327955,-34.27044033,-1.97052904,map
15,-1.87232208,-34.93905619,-1.97834312,map
16,-2.08693057,-35.39073502,-2.02022600,map
17,-2.29701926,-35.81952794,-2.02637467,map
18,-1.87400638,-34.93849573,-1.97508515,map
19,-1.62201118,-34.30411400,-1.93712197,map
20,-1.38481485,-33.66337079,-1.92954102,map
21,-1.17307843,-32.98238822,-1.84723750,map
22,-1.00953876,-32.36251405,-1.95667431,map
23,-0.77116556,-31.75077817,-1.96445905,map
24,-0.51915527,-31.10897451,-2.07412284,map
25,-0.20679691,-30.49413804,-2.10747249,map
26,0.18332952,-29.97262320,-2.34743118,map
27,0.66034347,-29.49456516,-2.50423283,map
28,1.20061884,-29.10457302,-2.54773876,map
29,1.75878311,-28.76630536,-2.65355214,map
30,2.34786514,-28.44796710,-2.83336344,map
31,2.96311101,-28.24247267,-3.11338415,map
32,3.58998706,-28.24685103,2.91775090,map
33,4.22973322,-28.36629375,2.89305635,map
34,4.83479364,-28.53832786,2.87264040,map
35,5.47891780,-28.68868160,2.74116946,map
36,6.08419968,-28.91969659,2.73904868,map
37,6.74314295,-29.17779648,2.71849710,map
38,7.42064977,-29.44568761,2.75839131,map
39,8.15200242,-29.67986043,2.81897073,map
40,8.91249505,-29.93748431,2.73274306,map
41,9.71460151,-30.24159667,2.67741073,map
42,10.20909795,-30.44289220,2.70427366,map
43,9.62536880,-30.19035374,2.66491021,map
44,9.02599087,-29.92234666,2.66347048,map
45,8.42022122,-29.66372626,2.70321977,map
46,7.81621943,-29.42060125,2.68775507,map
47,7.23470717,-29.14838476,2.67094396,map
48,6.63415039,-28.86615259,2.64952675,map
49,6.06136128,-28.57992471,2.61240404,map
50,5.52265446,-28.27632282,2.58448551,map
51,4.96949033,-27.94889765,2.48823931,map
52,4.48030255,-27.58351440,2.41370173,map
53,4.03567438,-27.12516318,2.17374260,map
54,3.67518937,-26.56172233,2.01335459,map
55,3.48212255,-25.90642547,1.63345161,map
56,3.50965054,-25.18658683,1.43417119,map
57,3.69200899,-24.46690027,1.17409011,map
58,3.99415231,-23.69827911,1.12814808,map
59,4.33746555,-22.91362020,1.08687028,map
60,4.69171018,-22.12117699,1.12712282,map
61,5.08167228,-21.30590477,1.07953507,map
62,5.46705629,-20.43677400,1.08531285,map
63,5.89149956,-19.61354031,1.06597277,map
64,6.34523064,-18.81496329,0.99411183,map
65,6.88167301,-17.96772582,0.87610409,map
66,7.65134357,-17.35276028,0.44915544,map
67,8.59555898,-16.88446589,0.39139958,map
68,9.63652331,-16.49311353,0.26765382,map
69,10.77919134,-16.37627257,-0.06509844,map
70,11.91519347,-16.49384211,-0.21047342,map
71,12.57488064,-16.64756281,-0.24091251,map
