idx,x,y,yaw,frame_id
0,20.08799922,-13.08551123,3.12791884,map
1,21.46086509,-13.10428472,-2.85826615,map
2,22.43903848,-12.40098416,-2.38670313,map
3,22.83020953,-11.81604474,-2.16761927,map
4,23.2261657,-11.24256313,-2.1947877,map
5,23.60199456,-10.74404948,-2.33247738,map
6,24.29150983,-10.12544766,-2.54115366,map
7,25.14545033,-9.68711958,-2.87397604,map
8,26.24646175,-9.5894118,3.13999868,map
9,26.94577035,-9.68998925,2.87091525,map
10,26.56426538,-9.56808142,2.87091525,map
11,26.01641136,-9.43210369,3.03578691,map
12,25.21315158,-9.42458997,-2.93821511,map
13,24.2407111,-9.79830421,-2.69848681,map
14,23.6735735,-10.1552434,-2.5703742,map
15,23.120876,-10.51800985,-2.54808057,map
16,22.58329808,-10.89080231,-2.53613012,map
17,21.54540327,-11.60853033,-2.55370979,map
18,21.00813347,-11.94063963,-2.67145665,map
19,20.42296408,-12.17888322,-2.91411313,map
20,19.10902063,-12.38025817,-3.04094627,map
21,18.38207006,-12.38498822,3.11551867,map
22,17.62238347,-12.34148683,3.0323097,map
23,16.93062686,-12.22573575,2.93780154,map
24,15.75916294,-11.9564337,2.86558482,map
25,14.60116412,-11.56594573,2.82798777,map
26,13.47406582,-11.21536095,2.8033421,map
27,12.58003152,-10.85497244,2.81118357,map
28,11.54783541,-10.55469857,2.85084628,map
29,10.61347989,-10.26652944,2.82003318,map
30,9.99941714,-10.03888788,2.786585,map
