idx,stamp_sec,x,y,yaw,frame_id,gps_lat,gps_lon,gps_status,gps_odom_x,gps_odom_y,cov_xx,cov_yy,odom_vx,odom_vy,odom_vyaw,imu_wz,imu_ax,imu_ay,imu_yaw,odom_x,odom_y,odom_yaw
0,1788666549.72142529,8.67890770,5.58386738,-1.03982102,map,37.28884690,127.10733830,2,8.67271223,5.59448979,0.72218755,0.72280162,-0.00000000,0.00000000,0.00000000,0.00000000,0.30400615,-0.23535960,0.28132996,-5.61077622,25.90829759,-1.40105934
1,1788666555.01186156,9.43915166,5.30678323,-1.18225348,map,37.28884450,127.10734750,2,9.43928768,5.30663071,0.01198761,0.01198875,-0.02340000,0.00000000,0.00548521,-0.23614305,0.40207265,0.25497290,0.60443567,-5.61706651,25.94377571,-1.38508101
2,1788666556.01196289,10.03192705,4.88759433,-1.16575325,map,37.28884070,127.10735410,2,10.03211586,4.88737996,0.01208919,0.01209036,-0.02470000,0.00000000,0.00064502,-0.02164208,0.48052585,0.55897905,0.65750100,-5.62165217,25.96812451,-1.38432185
3,1788666557.01830292,10.60110794,4.43546852,-1.17669488,map,37.28883660,127.10736040,2,10.60035810,4.43591544,0.01844038,0.01844374,-0.02750000,0.00000000,0.00032084,0.01762783,0.17651970,-1.25525120,0.71079013,-5.62669655,25.99482250,-1.38377002
4,1788666558.00007081,11.14860947,3.97707772,-1.11209320,map,37.28883240,127.10736640,2,11.14871733,3.97698589,0.00019596,0.00019596,-0.02000000,0.00000000,-0.01467037,0.22689280,-0.39226600,-1.12776475,0.58914471,-5.63123385,26.01908559,-1.39306832
5,1788666559.02308607,11.74577423,3.60084324,-1.10651892,map,37.28882900,127.10737310,2,11.74630551,3.60140472,0.02322626,0.02323081,-0.02460000,0.00000000,-0.00006492,0.00488692,0.71588545,0.16671305,0.52569613,-5.63524191,26.04169989,-1.39581854
6,1788666560.00007057,12.35598943,3.24997283,-1.07079304,map,37.28882580,127.10737990,2,12.35611022,3.24990198,0.00019596,0.00019596,-0.03010000,0.00000000,-0.00080695,-0.01954769,0.41187930,0.33342610,0.38957954,-5.63937223,26.06563612,-1.40396101
7,1788666561.02603912,12.99301202,2.94912235,-1.07673126,map,37.28882310,127.10738710,2,12.99225125,2.94902792,0.02617682,0.02618214,-0.02580000,0.00000000,-0.00066658,-0.02181662,0.03922660,0.85317855,0.38630422,-5.64359333,26.09073767,-1.40449891
8,1788666562.00076771,13.63326678,2.62873020,-1.05624438,map,37.28882020,127.10739430,2,13.63338003,2.62867094,0.00089320,0.00089320,-0.02220000,0.00000000,-0.01405507,0.26616271,0.17651970,-0.64723890,0.33687639,-5.64778958,26.11586013,-1.40956105
9,1788666563.02659631,14.30100222,2.39113877,-1.03831560,map,37.28881800,127.10740170,2,14.30134079,2.39152303,0.02672797,0.02673285,-0.02310000,0.00000000,-0.00023100,-0.04625123,0.33342610,-0.51975245,0.31280087,-5.65174270,26.14043900,-1.41176032
10,1788666564.00131965,14.94977245,2.14281098,-1.02108494,map,37.28881580,127.10740910,2,14.94990204,2.14276539,0.00144517,0.00144519,-0.01870000,0.00000000,-0.01003783,0.18954276,0.27458620,0.56878570,0.30577475,-5.65531697,26.16277892,-1.41467787
11,1788666565.01182890,15.62753246,1.91771192,-1.00406969,map,37.28881370,127.10741660,2,15.62768536,1.91770142,0.01195571,0.01195641,-0.02500000,0.00000000,-0.00076749,0.00069813,0.57859235,1.19641130,0.29348314,-5.65908860,26.18702896,-1.41719228
12,1788666566.01204014,16.28472648,1.67967693,-1.00633813,map,37.28881160,127.10742410,2,16.28477884,1.67955527,0.01216685,0.01216763,-0.02230000,0.00000000,-0.00047081,0.00907571,0.16671305,-0.55897905,0.32073569,-5.66308410,26.21288620,-1.41785710
13,1788666567.00007033,16.97027872,1.47054325,-1.00024411,map,37.28880970,127.10743180,2,16.97041464,1.47050054,0.00019596,0.00019596,-0.02650000,0.00000000,-0.00069203,0.05619960,-0.53936575,-1.34351105,0.34124116,-5.66699615,26.23831724,-1.41855809
14,1788666568.01384664,17.63291212,1.23570527,-0.99802988,map,37.28880760,127.10743930,2,17.63341067,1.23618017,0.01397981,0.01398094,-0.02500000,0.00000000,-0.00043752,0.00733038,0.22555295,0.81395195,0.35399266,-5.67099023,26.26439947,-1.41916139
15,1788666569.00007033,18.29149820,0.96009215,-1.00306841,map,37.28880510,127.10744670,2,18.29162920,0.96003575,0.00019596,0.00019596,-0.03950000,0.00000000,-0.00079554,0.02094395,-0.16671305,0.70607880,0.36858900,-5.67551342,26.29406384,-1.41985029
16,1788666570.01470256,18.94864250,0.71152798,-0.96576385,map,37.28880280,127.10745400,2,18.94885495,0.71147312,0.01483054,0.01483166,-0.03350000,0.00000000,-0.00085621,-0.01553343,0.13729310,-0.91201845,0.31158147,-5.67978906,26.32260922,-1.42586944
17,1788666571.00007010,19.63488151,0.46984523,-0.94974283,map,37.28880060,127.10746170,2,19.63501737,0.46979574,0.00019596,0.00019596,-0.02320000,0.00000000,-0.00204887,-0.03682645,0.61781895,-0.76491870,0.28488055,-5.68333344,26.34706486,-1.42963508
18,1788666572.01973462,20.31387242,0.27878818,-0.95489573,map,37.28879890,127.10746940,2,20.31423548,0.27857620,0.01986309,0.01986475,-0.02280000,0.00000000,-0.00034835,0.02199115,0.89240515,1.63771055,0.30757638,-5.68658277,26.36995004,-1.42991761
19,1788666573.01173401,20.98433860,0.05417161,-0.94585395,map,37.28879690,127.10747700,2,20.98447310,0.05408628,0.01186135,0.01186187,-0.02620000,0.00000000,-0.00037846,-0.02600541,0.50994580,0.19613300,0.32212843,-5.68998374,26.39394947,-1.43016961
20,1788666574.02499938,21.66034922,-0.17876375,-0.94584890,map,37.28879480,127.10748460,2,21.66005671,-0.17779668,0.02515020,0.02515302,-0.02600000,0.00000000,-0.00032140,-0.01221730,-0.23535960,-1.06892485,0.33454779,-5.69315737,26.41639372,-1.43051779
21,1788666575.00075984,22.30879452,-0.38035237,-0.96310646,map,37.28879290,127.10749220,0,22.33431455,-0.38839294,0.03805065,0.03805152,-0.02990000,0.00000000,-0.00062712,-0.02286381,-0.27458620,0.20593965,0.34328317,-5.69636885,26.43916402,-1.43089543
22,1788666576.00007010,22.91809103,-0.59170454,-0.98216333,map,37.28879090,127.10749950,0,22.97755527,-0.61310241,0.09057066,0.09057578,-0.02670000,0.00000000,-0.00053033,-0.10489429,0.73549875,0.62762560,0.35162853,-5.70022548,26.46659459,-1.43138077
23,1788666577.00463891,23.54076491,-0.75091781,-0.91431126,map,37.28878940,127.10750660,0,23.61898327,-0.77109969,0.12563071,0.12563919,-0.00390000,0.00000000,-0.00045607,-0.03124139,0.14709975,-0.47071920,0.28302715,-5.70278845,26.48495066,-1.43450168
24,1788666578.00006986,24.26307267,-0.96045144,-0.92424403,map,37.28878760,127.10751430,0,24.30082322,-0.97154881,0.05522306,0.05522421,-0.01830000,0.00000000,-0.00024909,-0.01117011,-0.16671305,-1.18660465,0.30450371,-5.70602707,26.50859786,-1.43491122
25,1788666579.00643420,24.94618184,-1.20993328,-0.96567933,map,37.28878540,127.10752200,0,24.97600458,-1.22116829,0.04986545,0.04986671,-0.02280000,0.00000000,-0.00038319,-0.03769911,0.72569210,1.29447780,0.32192541,-5.70950481,26.53407593,-1.43536965
