idx,stamp_sec,x,y,yaw,frame_id,gps_lat,gps_lon,gps_status,gps_odom_x,gps_odom_y,cov_xx,cov_yy,odom_vx,odom_vy,odom_vyaw,imu_wz,imu_ax,imu_ay,imu_yaw,odom_x,odom_y,odom_yaw
0,1788676552.93464017,-13.71143320,-29.44142547,-1.99814275,map,37.28853140,127.10708830,2,-13.70611059,-29.42958136,0.87510816,0.87611338,-0.00000000,0.00000000,0.00000000,0.00000000,0.27458620,-0.11767980,-0.39725942,4.23141827,20.96447500,-0.96440835
1,1788676559.32462049,-13.97244680,-29.86943097,-2.32534297,map,37.28852740,127.10708610,2,-13.94960237,-29.84371583,0.24495223,0.24500567,0.12380000,0.00000000,-0.09133800,-0.37280233,-0.07845320,0.50013915,-0.07847185,4.29035766,20.87207855,-1.04732054
2,1788676560.08005929,-14.35808554,-30.26147442,-2.56698544,map,37.28852320,127.10708210,2,-14.35224689,-30.25732910,0.03299102,0.03298688,0.19460000,0.00000000,-0.07637523,-0.20647245,-0.02941995,-0.25497290,0.12939532,4.33873707,20.78202113,-1.10841833
3,1788676561.07732964,-14.90844776,-30.56963889,-2.70218216,map,37.28852020,127.10707610,2,-14.89831060,-30.56596145,0.05140832,0.05138527,0.15340000,0.00000000,-0.08740325,-0.30037116,0.59820565,-1.18660465,0.26834399,4.40528991,20.64502768,-1.14436551
4,1788676562.05828428,-15.47442545,-30.78910588,-2.92117297,map,37.28851780,127.10706980,2,-15.47334596,-30.78897871,0.00735634,0.00735568,0.08770000,0.00000000,-0.00292389,-0.05270894,-0.09806650,0.09806650,0.44047290,4.46472849,20.50064101,-1.19959843
5,1788676563.05192471,-16.10168097,-30.93988130,-2.97388637,map,37.28851620,127.10706280,2,-16.09952969,-30.93964268,0.01414323,0.01414055,0.13380000,0.00000000,-0.05195144,-0.12426744,0.19613300,-0.00980665,0.52682085,4.50782025,20.38810538,-1.22112076
6,1788676564.06930327,-16.74032808,-31.02379430,-3.13779635,map,37.28851520,127.10705570,2,-16.73132791,-31.02360838,0.04962355,0.04958864,0.17140000,0.00000000,-0.02253944,-0.04729842,0.71588545,1.00027830,0.67887364,4.55599320,20.24776054,-1.26004175
7,1788676565.09691858,-17.37599387,-31.01234385,3.05726942,map,37.28851510,127.10704850,2,-17.36916735,-31.01195627,0.04620975,0.04617978,0.12220000,0.00000000,-0.04948498,-0.18203784,0.42168595,-0.01961330,0.78380250,4.59640274,20.11921953,-1.28644399
8,1788676566.07416534,-18.01638541,-30.92064039,2.89825358,map,37.28851560,127.10704120,2,-18.01112229,-30.92160288,0.03410685,0.03409219,0.15040000,0.00000000,-0.00963661,-0.04537856,-0.30400615,-0.03922660,0.92986676,4.63259458,19.98699740,-1.32184501
9,1788676586.10212803,-18.71283396,-30.76240514,2.84517492,map,37.28851690,127.10703330,2,-18.70809361,-30.76402521,0.05160569,0.05157435,0.08520000,0.00000000,-0.00102953,-0.05969026,0.57859235,-0.11767980,0.98036517,4.65983478,19.87952862,-1.32337236
10,1788676587.08341742,-19.33711049,-30.57041553,2.78427088,map,37.28851850,127.10702620,2,-19.33277882,-30.57186057,0.04355989,0.04353944,0.07810000,0.00000000,-0.02183035,-0.14416420,0.45110590,0.73549875,1.02651656,4.68459872,19.78023573,-1.33626567
11,1788676588.11591125,-19.94406317,-30.32381223,2.71246163,map,37.28852060,127.10701930,2,-19.93864025,-30.32428950,0.05190134,0.05187601,0.07810000,0.00000000,-0.01388359,-0.05218534,-0.06864655,-0.10787315,1.09033054,4.70950872,19.67292310,-1.35115735
12,1788676589.05992985,-20.52061167,-30.03056133,2.58446951,map,37.28852300,127.10701260,2,-20.51875238,-30.03164063,0.01747823,0.01747666,0.13120000,0.00000000,-0.02566052,-0.14922565,0.38245935,0.10787315,1.22116546,4.72889196,19.58108464,-1.37647051
13,1788676590.07997561,-21.07436562,-29.64606599,2.49054846,map,37.28852630,127.10700630,2,-21.06746241,-29.65067392,0.05854112,0.05853267,0.12380000,0.00000000,-0.02981644,-0.09791297,-0.28439285,-1.09834480,1.32253757,4.74993125,19.47138476,-1.38931132
14,1788676591.07996225,-21.57705911,-29.25173267,2.37531085,map,37.28852970,127.10700040,2,-21.57500629,-29.25421245,0.02923871,0.02923832,0.09780000,0.00000000,-0.03143217,-0.17488199,-0.52955910,-0.52955910,1.45315267,4.76953197,19.36015912,-1.41041191
15,1788676592.07897973,-22.01445096,-28.79575034,2.25909021,map,37.28853360,127.10699520,2,-22.01225698,-28.79868816,0.02905882,0.02906109,0.07710000,0.00000000,-0.00222765,-0.03403392,0.59820565,0.98066500,1.60582349,4.78459657,19.25939590,-1.42934912
16,1788676593.05795717,-22.42177188,-28.29720965,2.15300499,map,37.28853800,127.10699040,2,-22.42102167,-28.29773989,0.00712328,0.00712355,0.09720000,0.00000000,-0.03881983,-0.12705997,0.37265270,-0.19613300,1.71785140,4.79985050,19.14689293,-1.45556311
17,1788676594.05130434,-22.76356332,-27.72783029,2.06013598,map,37.28854300,127.10698630,2,-22.76238580,-27.72950280,0.01261950,0.01262075,0.16490000,0.00000000,-0.02606045,0.01710423,0.84337190,0.41187930,1.81195059,4.81258570,19.02572564,-1.47198450
18,1788676595.07098961,-23.04225080,-27.17951667,1.97216090,map,37.28854780,127.10698300,2,-23.03829642,-27.18884258,0.05110975,0.05113537,0.17270000,0.00000000,-0.03902866,-0.11746066,-0.39226600,-1.32389775,1.90157605,4.82384263,18.89628922,-1.49458382
19,1788676596.10213161,-23.25027556,-26.60130360,1.84243283,map,37.28855290,127.10698030,2,-23.24839680,-26.61257435,0.05144313,0.05147522,0.18360000,0.00000000,-0.01000112,-0.04468043,0.68646550,-0.53936575,2.04867319,4.83168533,18.74277991,-1.53743340
20,1788676597.07957792,-23.39832528,-26.00080520,1.67376461,map,37.28855830,127.10697820,2,-23.39807763,-26.00631076,0.02866399,0.02867534,0.16260000,0.00000000,-0.01783259,-0.11414453,0.68646550,-0.43149260,2.21288240,4.83329630,18.60078574,-1.58387890
21,1788676598.06026554,-23.43580993,-25.37105830,1.54055165,map,37.28856400,127.10697750,2,-23.43587687,-25.37239946,0.00941751,0.00941862,0.14580000,0.00000000,-0.05571664,-0.20472712,0.18632635,0.11767980,2.32904398,4.83011426,18.45903579,-1.62170050
22,1788676599.06001902,-23.40351240,-24.74871642,1.41500362,map,37.28856960,127.10697750,2,-23.40420703,-24.75304270,0.02596951,0.02597636,0.15000000,0.00000000,-0.00635614,-0.13107423,0.76491870,-0.01961330,2.43211636,4.82111143,18.31116903,-1.64413458
23,1788676600.11490488,-23.33215364,-24.17181743,1.43291169,map,37.28857480,127.10697830,2,-23.33266601,-24.17604495,0.03514994,0.03516678,0.09060000,0.00000000,0.00065434,-0.12252211,0.13729310,-0.38245935,2.43732609,4.81200190,18.17122841,-1.62992372
24,1788676601.08000112,-23.25230658,-23.53788315,1.42307473,map,37.28858050,127.10697920,2,-23.25106727,-23.54373253,0.03682634,0.03683864,0.09840000,0.00000000,0.00243292,-0.09302605,-2.19668960,-1.88287680,2.44360702,4.80617076,18.07233740,-1.62925711
25,1788676602.07208133,-23.18156506,-22.91850336,1.39697894,map,37.28858610,127.10697990,2,-23.18074854,-22.92362950,0.05139188,0.05142704,0.11450000,0.00000000,0.00458127,-0.03403392,1.57887065,-2.27514280,2.48379238,4.80102552,17.98547291,-1.62988888
26,1788676603.05200386,-23.05136188,-22.32538393,1.35985091,map,37.28859150,127.10698130,2,-23.05121984,-22.32541537,0.00147868,0.00147870,0.10430000,0.00000000,-0.00452113,-0.10855948,1.69655045,4.27569940,2.51021134,4.79542704,17.89230559,-1.63219007
27,1788676604.08358359,-22.92176828,-21.67612280,1.33618976,map,37.28859730,127.10698270,2,-22.92105468,-21.68309542,0.05217205,0.05220660,0.07710000,0.00000000,-0.00248478,-0.04694936,1.34351105,-0.04903325,2.54918390,4.78993653,17.80212986,-1.63181495
