idx,x,y,yaw,frame_id
0,35.55080263,16.63725753,2.84614399,map
1,34.75844209,16.87841751,2.82392041,map
2,33.9876819,17.15122415,2.78184258,map
3,33.41586173,17.38338554,2.78392604,map
4,32.73753924,17.61845397,2.80987782,map
5,32.06283925,17.84942334,2.80514447,map
6,31.25199287,18.1380173,2.75351684,map
7,30.55813748,18.46455652,2.76535723,map
8,29.86133953,18.68740062,2.79458385,map
9,29.20564604,18.9536748,2.82789235,map
10,28.48791844,19.13295539,2.88245292,map
11,27.77023283,19.33420371,2.92059422,map
12,27.05145561,19.55363621,2.88996178,map
13,26.35253231,19.78187368,2.8594925,map
14,25.64358752,20.01635668,2.89842038,map
15,24.92283408,20.21747125,2.91756208,map
16,24.20611505,20.41214796,2.87489512,map
17,23.52518244,20.62947128,2.84456356,map
18,22.81904628,20.8605447,2.80674295,map
19,22.12985714,21.13361709,2.80338431,map
20,21.02448673,21.55053259,2.86484354,map
21,20.30581638,21.75906787,2.83513259,map
22,19.62581091,22.01219401,2.84980016,map
23,18.99457857,22.22913282,2.84114296,map
24,18.33153887,22.47049548,2.80326126,map
25,17.65524043,22.7156502,2.82246833,map
26,16.9762981,22.95981416,2.78089461,map
27,16.28299105,23.22134202,2.80001799,map
28,15.60819311,23.42872021,2.83933376,map
29,14.90863372,23.71058915,2.81933527,map
30,14.23639435,23.98130242,2.78002495,map
31,13.645445,24.25828575,2.75005045,map
32,13.10373808,24.45894195,2.92368006,map
33,12.52531672,24.60351936,2.89652379,map
34,12.01401847,24.77327261,2.87818608,map
35,11.49812559,24.91043963,2.86726725,map
36,10.98694105,25.0810298,2.76429936,map
37,10.49269241,25.27927847,2.80621892,map
38,9.9897088,25.4486306,2.74249911,map
39,9.48127894,25.62889319,2.7165692,map
40,8.98568668,25.8229669,2.697016,map
41,8.50150791,26.026791,2.73443719,map
42,7.99972145,26.21977868,2.77685629,map
43,7.5172928,26.37289179,2.78169043,map
44,7.03751245,26.53122774,2.77445585,map
45,6.53864792,26.66338569,2.81139195,map
46,6.02457023,26.81418943,2.78840855,map
47,5.52995493,26.97183041,2.7789995,map
48,5.02543574,27.10937988,2.77636559,map
49,4.51139197,27.27398401,2.74995209,map
50,4.00128308,27.44833411,2.69635102,map
51,3.50575702,27.64734004,2.65454407,map
52,3.02750222,27.85759419,2.64184472,map
53,2.52309087,28.02277409,2.78179566,map
54,2.03806296,28.17202766,2.74317513,map
55,1.52732685,28.35487266,2.69532009,map
56,1.04596304,28.52703286,2.65672177,map
57,0.53173724,28.72830028,2.65707423,map
58,-0.03321706,28.96517399,2.62608066,map
59,-0.65432779,29.20771211,2.66823605,map
60,-1.31439955,29.44248808,2.6814297,map
61,-1.99623218,29.69022699,2.70889825,map
62,-2.73839646,29.90664064,2.74981474,map
63,-3.48253037,30.14454357,2.73674297,map
64,-4.29496425,30.42475377,2.69568684,map
65,-5.00504145,30.69406127,2.73988836,map
66,-5.81119929,30.89278121,2.82681977,map
67,-6.57249135,31.08646492,2.77355695,map
68,-7.38356158,31.32894092,2.74810359,map
69,-8.1890208,31.60238982,2.68427329,map
70,-8.9957498,31.91201611,2.66821665,map
71,-9.79240608,32.22710143,2.7211288,map
72,-10.59662431,32.4928711,2.81754491,map
73,-11.42394245,32.73851856,2.7711677,map
74,-12.2322717,32.99090519,2.74425958,map
75,-13.05804627,33.29771019,2.71780045,map
76,-13.87776135,33.60160716,2.69970238,map
77,-14.6766808,33.86091387,2.76114747,map
78,-15.48597146,34.13373425,2.70434887,map
79,-16.27573648,34.38508328,2.71240824,map
80,-17.11616953,34.62479886,2.71422305,map
81,-17.93062697,34.87912514,2.694226,map
82,-18.72571268,35.19163133,2.79862461,map
83,-19.53738731,35.36515223,2.80775713,map
84,-20.38265092,35.58116864,2.88863323,map
85,-21.23183961,35.63107522,2.95894569,map
86,-22.12105726,35.68871433,3.09407909,map
87,-22.99081816,35.6626643,-3.11311811,map
88,-23.78419662,35.46232413,-2.92993876,map
89,-24.57146576,35.12963653,-2.74323996,map
90,-25.33659081,34.69357918,-2.65618242,map
91,-26.08076929,34.18699224,-2.62773918,map
92,-26.77825519,33.60296188,-2.5092953,map
93,-27.44236798,32.94755799,-2.34682837,map
94,-28.02760883,32.17950892,-2.12656475,map
95,-28.56419146,31.36552307,-2.12139754,map
96,-29.07221872,30.47800344,-2.06365307,map
97,-29.51201068,29.60070445,-2.0163114,map
98,-29.95411314,28.63124158,-2.05685684,map
99,-30.4753427,27.77738073,-2.0628302,map
100,-30.94106187,26.83289401,-2.0952983,map
101,-31.42502108,25.89759072,-2.11240065,map
102,-31.89659255,24.92188456,-1.9610443,map
103,-32.18782364,24.04317923,-1.9240749,map
104,-32.43651476,23.45768235,-1.89564486,map
105,-32.62531029,22.74414775,-1.78527472,map
106,-32.70411893,22.22917549,-1.65172462,map
107,-32.71662029,21.61832919,-1.52961468,map
108,-32.66139285,21.19225903,-1.4270392,map
109,-32.54567179,20.43738419,-1.34111826,map
110,-32.36407469,19.92060238,-1.28635405,map
111,-32.17355195,19.16461439,-1.2668599,map
112,-31.86837171,18.34019216,-1.20909399,map
113,-31.57077137,17.57142193,-1.14561396,map
114,-31.21216311,16.89097747,-1.04533667,map
115,-30.83632069,16.30476539,-1.01016769,map
116,-30.47532821,15.71734758,-0.97193574,map
117,-30.09907896,15.22450296,-0.88621993,map
118,-29.56801477,14.60579613,-0.81051635,map
119,-29.178279,14.25624326,-0.7515276,map
120,-28.71564267,13.80929371,-0.68384676,map
121,-28.28640079,13.5293237,2.56364224,map
