idx,stamp_sec,x,y,yaw,frame_id,gps_lat,gps_lon,gps_status,gps_odom_x,gps_odom_y,cov_xx,cov_yy,odom_vx,odom_vy,odom_vyaw,imu_wz,imu_ax,imu_ay,imu_yaw,odom_x,odom_y,odom_yaw
0,1788672186.92021632,35.01386914,19.17213928,2.73870411,map,37.28896660,127.10763920,2,35.02546471,19.16722081,0.88121243,0.88009627,0.00000000,0.00000000,-0.00000000,0.00000000,0.25497290,-0.04903325,2.24758636,0.06020032,-0.00060887,-0.06644577
1,1788672191.05362105,34.49587868,19.28793821,2.90339325,map,37.28896810,127.10763340,2,34.49697348,19.28728423,0.01451450,0.01451198,0.04340000,0.00000000,0.03278916,0.27541296,0.47071920,-0.12748645,2.02936139,0.11245185,-0.00313265,-0.02625277
2,1788672192.08950424,33.87931654,19.28807955,-3.09450637,map,37.28896860,127.10762650,2,33.88114594,19.28957551,0.04920680,0.04917261,-0.01670000,0.00000000,-0.00443190,0.05585054,-0.36284605,-1.15718470,1.80058723,0.12255642,-0.00338395,-0.01714814
3,1788672193.07476997,33.22471694,19.23136176,-3.08810873,map,37.28896810,127.10761910,2,33.22511083,19.23160542,0.03452889,0.03451231,-0.02260000,0.00000000,-0.00012870,-0.02007129,1.00027830,-0.04903325,1.80925536,0.09817687,-0.00295305,-0.01799229
4,1788672194.05791736,32.59610975,19.24528776,3.05190586,map,37.28896790,127.10761200,2,32.59652596,19.24546674,0.01798451,0.01798008,-0.02640000,0.00000000,0.00060505,-0.06510078,-0.21574630,0.35303940,1.98322021,0.07458315,-0.00261488,-0.01041474
5,1788672195.09182692,31.92861444,19.31754127,2.90584710,map,37.28896830,127.10760440,2,31.92707204,19.31659385,0.05190795,0.05187346,-0.02930000,0.00000000,0.01962254,-0.39304815,-0.36284605,-0.58839900,2.10159495,0.05054757,-0.00239026,-0.00430213
6,1788672196.07488465,31.29962120,19.53915921,2.76340747,map,37.28897000,127.10759720,2,31.29911710,19.53905588,0.03499075,0.03497831,-0.02300000,0.00000000,0.00029709,-0.05305801,-0.55897905,-0.29419950,2.22429260,0.02911101,-0.00234866,-0.00123554
7,1788672197.06009030,30.68267986,19.78072737,2.70514340,map,37.28897210,127.10759020,2,30.68211687,19.78087064,0.01870614,0.01870358,-0.02110000,0.00000000,-0.00147238,-0.03159046,0.50994580,0.40207265,2.26894510,0.00267072,-0.00232374,-0.00077286
8,1788672198.08049059,30.02953879,20.03106031,2.68311504,map,37.28897430,127.10758280,2,30.02909717,20.03176287,0.03763229,0.03762416,-0.02560000,0.00000000,-0.00392696,-0.01361357,0.50994580,1.17679800,2.24820063,-0.01983221,-0.00226845,-0.00355507
9,1788672199.08049607,29.41303945,20.24342580,2.78583982,map,37.28897630,127.10757590,2,29.41282054,20.24392393,0.03762260,0.03761226,-0.02840000,0.00000000,-0.00000000,-0.06702064,0.31381280,1.28467115,2.15818485,-0.04157255,-0.00213222,-0.00737793
10,1788672200.10071588,28.79016610,20.44636614,2.76567415,map,37.28897820,127.10756890,2,28.78944448,20.44820151,0.05642912,0.05640978,-0.02490000,0.00000000,-0.00642898,0.06736971,1.31409110,-0.29419950,2.18860805,-0.07292276,-0.00189879,-0.00851633
11,1788672201.07669115,28.14798200,20.67515752,2.81059421,map,37.28898030,127.10756170,2,28.14876004,20.67521193,0.03632105,0.03630633,-0.02200000,0.00000000,-0.00070290,-0.02111848,-0.03922660,-1.09834480,2.21282247,-0.09386198,-0.00170081,-0.00993303
12,1788672202.05710292,27.51270610,20.92546137,2.74023384,map,37.28898250,127.10755450,2,27.51260508,20.92538642,0.01594433,0.01594186,-0.02140000,0.00000000,-0.00076700,-0.01884956,-0.09806650,-0.47071920,2.25554728,-0.11769387,-0.00145621,-0.01067577
13,1788672203.09138393,26.83412922,21.17244070,2.82322952,map,37.28898480,127.10754690,2,26.83487141,21.17004132,0.05147360,0.05144375,-0.01850000,0.00000000,-0.00553032,0.06108652,0.34323275,0.31381280,2.17392294,-0.13680969,-0.00122787,-0.01554921
14,1788672204.07416892,26.12021367,21.38944564,2.77533640,map,37.28898670,127.10753880,2,26.11985485,21.38981573,0.03357758,0.03356584,-0.02050000,0.00000000,-0.00037016,-0.07749262,-0.47071920,0.40207265,2.19021921,-0.15935130,-0.00086763,-0.01624336
15,1788672205.05347538,25.33304597,21.63884964,2.75289012,map,37.28898890,127.10752990,2,25.33263706,21.63885775,0.01364971,0.01364793,-0.01700000,0.00000000,-0.00003069,-0.05288348,-0.45110590,-0.38245935,2.22440834,-0.18095898,-0.00051582,-0.01621607
16,1788672206.06021714,24.57514375,21.88304593,2.80560841,map,37.28899120,127.10752140,2,24.57474555,21.88301285,0.02090078,0.02089726,-0.02360000,0.00000000,-0.00002950,0.01535890,0.08825985,-0.09806650,2.17751164,-0.20481145,-0.00006466,-0.02050603
17,1788672207.06760073,23.74385823,22.11120421,2.77313163,map,37.28899320,127.10751200,2,23.74357242,22.11128376,0.02749784,0.02749147,-0.01650000,0.00000000,-0.00014896,-0.03176499,-0.03922660,-0.41187930,2.21003563,-0.22820122,0.00041661,-0.02063823
18,1788672208.08044052,22.89716213,22.41018381,2.72389665,map,37.28899580,127.10750240,2,22.89679121,22.41059008,0.03242931,0.03242284,-0.02330000,0.00000000,-0.00039806,-0.03909538,-0.00980665,-0.34323275,2.24418267,-0.24999284,0.00086817,-0.02085995
19,1788672209.08154058,22.05718062,22.73645650,2.81554947,map,37.28899890,127.10749300,2,22.05630639,22.73684336,0.04109106,0.04107927,-0.02760000,0.00000000,-0.00029134,0.12758357,0.70607880,-0.09806650,2.23055244,-0.28077275,0.00157947,-0.02509666
20,1788672210.06299543,21.15264372,23.04129972,2.78455634,map,37.28900160,127.10748280,2,21.15356854,23.04118102,0.02331337,0.02330766,-0.03310000,0.00000000,-0.00048732,-0.12252211,0.14709975,-1.31409110,2.26004133,-0.31788717,0.00253629,-0.02628019
21,1788672211.10071564,20.22296854,23.38304887,2.79461948,map,37.28900470,127.10747230,2,20.22177896,23.38311427,0.05493368,0.05491474,-0.02900000,0.00000000,-0.00087014,-0.00488692,0.91201845,-0.28439285,2.17218393,-0.35899655,0.00378346,-0.03313087
22,1788672212.08077312,19.27960919,23.74279778,2.76544830,map,37.28900790,127.10746160,2,19.27539326,23.74454011,0.04060930,0.04059224,-0.13770000,0.00000000,-0.00394031,0.01308997,0.14709975,0.30400615,2.19429629,-0.43123648,0.00623998,-0.03515487
